PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,1444,"""PROTOCOL-TFTP Get""",,192.168.0.203,192.168.0.4,2070,69,3
Community,1444,"""PROTOCOL-TFTP Get""",,192.168.0.203,192.168.0.4,2071,69,5
ETOpen,2008120,ET TFTP Outbound TFTP Read Request,,192.168.0.203,192.168.0.4,2070,69,3
ETOpen,2008119,ET TFTP Outbound TFTP Error Message,,192.168.0.203,192.168.0.4,2070,69,4
ETOpen,2008120,ET TFTP Outbound TFTP Read Request,,192.168.0.203,192.168.0.4,2071,69,5
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,6
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,7
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,8
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,9
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,10
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,11
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,12
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,13
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,14
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,15
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,16
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,17
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,18
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,19
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,20
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,21
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,22
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,23
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,24
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,25
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,26
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,27
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,28
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,29
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,30
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,31
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,32
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,33
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,34
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,35
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,36
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,37
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,38
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,39
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,40
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,41
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,42
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,43
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,44
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,45
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,46
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,47
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,48
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,49
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,50
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,51
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,52
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,53
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,54
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,55
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,56
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,57
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,58
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,59
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,60
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,61
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,62
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,63
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,64
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,65
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,66
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,67
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,68
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,69
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,70
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,71
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,72
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,73
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,74
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,75
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,76
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,77
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,78
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,79
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,80
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,81
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,82
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,83
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,84
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,85
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,86
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,87
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,88
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,89
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,90
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,91
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,92
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,93
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,94
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,95
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,96
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,97
ETOpen,2008118,ET TFTP Outbound TFTP ACK,,192.168.0.203,192.168.0.4,2071,69,98
ETOpen,2000418,ET POLICY Executable and linking format (ELF) file download,B0972E8C,192.168.0.4,192.168.0.203,16000,51479,39649
ETOpen,2000418,ET POLICY Executable and linking format (ELF) file download,B0993FCF,192.168.0.4,192.168.0.203,16000,51479,39748
ETOpen,2000418,ET POLICY Executable and linking format (ELF) file download,B099B15D,192.168.0.4,192.168.0.203,16000,51479,39769
ETOpen,2000418,ET POLICY Executable and linking format (ELF) file download,B09C7D3F,192.168.0.4,192.168.0.203,16000,51479,39898
ETOpen,2000418,ET POLICY Executable and linking format (ELF) file download,B32021BC,192.168.0.4,192.168.0.203,16000,51479,3893
ETOpen,2000418,ET POLICY Executable and linking format (ELF) file download,B320F87D,192.168.0.4,192.168.0.203,16000,51479,3931
ETOpen,2000418,ET POLICY Executable and linking format (ELF) file download,B325695A,192.168.0.4,192.168.0.203,16000,51479,4135
ETOpen,2000418,ET POLICY Executable and linking format (ELF) file download,B335B422,192.168.0.4,192.168.0.203,16000,51479,4882
Talos,1444,"""PROTOCOL-TFTP Get""",,192.168.0.203,192.168.0.4,2070,69,3
Talos,1444,"""PROTOCOL-TFTP Get""",,192.168.0.203,192.168.0.4,2071,69,5
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
