PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2035480,ET INFO PE EXE Download over raw TCP,B541A8F2,172.16.1.2,172.16.2.2,7000,49182,60564
ETOpen,2018959,ET POLICY PE EXE or DLL Windows file download HTTP,B541A8F2,172.16.1.2,172.16.2.2,7000,49182,60564
ETOpen,2035480,ET INFO PE EXE Download over raw TCP,B541A8F2,172.16.1.2,172.16.2.2,7000,49182,60564
ETOpen,2025644,ET TROJAN Possible Metasploit Payload Common Construct Bind_API (from server),B544057A,172.16.1.2,172.16.2.2,7000,49182,60672
ETOpen,2035480,ET INFO PE EXE Download over raw TCP,2560225B,172.16.1.2,172.16.2.2,5000,49183,8532
ETOpen,2025644,ET TROJAN Possible Metasploit Payload Common Construct Bind_API (from server),256278DF,172.16.1.2,172.16.2.2,5000,49183,8637
Talos,53331,"""POLICY-OTHER Wake-on-LAN magic packet attempt""",,172.16.1.2,172.16.1.255,35340,9,27980
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,C904DC9D,172.16.2.2,172.16.1.2,49182,7000,5048
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,C904DC9D,172.16.2.2,172.16.1.2,49182,7000,5048
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,B541A8ED,172.16.1.2,172.16.2.2,7000,49182,0
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,B541A8ED,172.16.1.2,172.16.2.2,7000,49182,0
ETOpenOpt,2035480,ET INFO PE EXE Download over raw TCP,B541A8F2,172.16.1.2,172.16.2.2,7000,49182,60564
ETOpenOpt,2018959,ET POLICY PE EXE or DLL Windows file download HTTP,B541A8F2,172.16.1.2,172.16.2.2,7000,49182,60564
ETOpenOpt,2035480,ET INFO PE EXE Download over raw TCP,B541A8F2,172.16.1.2,172.16.2.2,7000,49182,60564
ETOpenOpt,2009080,ET TROJAN VMProtect Packed Binary Inbound via HTTP - Likely Hostile,B543D226,172.16.1.2,172.16.2.2,7000,49182,60663
ETOpenOpt,2025644,ET TROJAN Possible Metasploit Payload Common Construct Bind_API (from server),B544057A,172.16.1.2,172.16.2.2,7000,49182,60672
ETOpenOpt,2035480,ET INFO PE EXE Download over raw TCP,2560225B,172.16.1.2,172.16.2.2,5000,49183,8532
ETOpenOpt,2000419,ET POLICY PE EXE or DLL Windows file download Non-HTTP,2560225B,172.16.1.2,172.16.2.2,5000,49183,8532
ETOpenOpt,2025644,ET TROJAN Possible Metasploit Payload Common Construct Bind_API (from server),256278DF,172.16.1.2,172.16.2.2,5000,49183,8637
