PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,32487
Community,384,"""PROTOCOL-ICMP PING""",,,,,,32487
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,32487
Community,384,"""PROTOCOL-ICMP PING""",,,,,,32487
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,33426
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,33426
Community,384,"""PROTOCOL-ICMP PING""",,,,,,33426
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,33426
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,33426
Community,384,"""PROTOCOL-ICMP PING""",,,,,,33426
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,9049
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,9049
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,33427
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,33427
Community,384,"""PROTOCOL-ICMP PING""",,,,,,33427
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,33427
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,33427
Community,384,"""PROTOCOL-ICMP PING""",,,,,,33427
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,9050
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,9050
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,33428
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,33428
Community,384,"""PROTOCOL-ICMP PING""",,,,,,33428
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,33428
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,33428
Community,384,"""PROTOCOL-ICMP PING""",,,,,,33428
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,9051
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,9051
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,33429
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,33429
Community,384,"""PROTOCOL-ICMP PING""",,,,,,33429
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,33429
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,33429
Community,384,"""PROTOCOL-ICMP PING""",,,,,,33429
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,9052
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,9052
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,33430
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,33430
Community,384,"""PROTOCOL-ICMP PING""",,,,,,33430
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,33430
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,33430
Community,384,"""PROTOCOL-ICMP PING""",,,,,,33430
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,9053
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,9053
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,32487
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,32487
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,32487
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,32487
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,33426
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,33426
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,33426
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,33426
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,33426
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,33426
Talos,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,9049
Talos,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,9049
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,33427
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,33427
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,33427
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,33427
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,33427
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,33427
Talos,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,9050
Talos,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,9050
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,33428
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,33428
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,33428
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,33428
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,33428
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,33428
Talos,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,9051
Talos,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,9051
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,33429
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,33429
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,33429
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,33429
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,33429
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,33429
Talos,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,9052
Talos,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,9052
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,33430
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,33430
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,33430
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,33430
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,33430
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,33430
Talos,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,9053
Talos,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,9053
