PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,32487
Community,384,"""PROTOCOL-ICMP PING""",,,,,,32487
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,32487
Community,384,"""PROTOCOL-ICMP PING""",,,,,,32487
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,4500
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4500
Community,384,"""PROTOCOL-ICMP PING""",,,,,,4500
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,4500
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4500
Community,384,"""PROTOCOL-ICMP PING""",,,,,,4500
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,4501
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4501
Community,384,"""PROTOCOL-ICMP PING""",,,,,,4501
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,4501
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4501
Community,384,"""PROTOCOL-ICMP PING""",,,,,,4501
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,21514
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,21514
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,4503
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4503
Community,384,"""PROTOCOL-ICMP PING""",,,,,,4503
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,4503
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4503
Community,384,"""PROTOCOL-ICMP PING""",,,,,,4503
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,4504
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4504
Community,384,"""PROTOCOL-ICMP PING""",,,,,,4504
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,4504
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4504
Community,384,"""PROTOCOL-ICMP PING""",,,,,,4504
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,4505
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4505
Community,384,"""PROTOCOL-ICMP PING""",,,,,,4505
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,4505
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4505
Community,384,"""PROTOCOL-ICMP PING""",,,,,,4505
ETOpen,2100366,GPL ICMP_INFO PING *NIX,,,,,,4500
ETOpen,2100366,GPL ICMP_INFO PING *NIX,,,,,,4500
ETOpen,2100366,GPL ICMP_INFO PING *NIX,,,,,,4501
ETOpen,2100366,GPL ICMP_INFO PING *NIX,,,,,,4501
ETOpen,2100366,GPL ICMP_INFO PING *NIX,,,,,,4503
ETOpen,2100366,GPL ICMP_INFO PING *NIX,,,,,,4503
ETOpen,2100366,GPL ICMP_INFO PING *NIX,,,,,,4504
ETOpen,2100366,GPL ICMP_INFO PING *NIX,,,,,,4504
ETOpen,2100366,GPL ICMP_INFO PING *NIX,,,,,,4505
ETOpen,2100366,GPL ICMP_INFO PING *NIX,,,,,,4505
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,32487
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,32487
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,32487
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,32487
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,4500
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4500
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,4500
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,4500
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4500
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,4500
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,4501
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4501
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,4501
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,4501
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4501
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,4501
Talos,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,21514
Talos,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,21514
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,4503
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4503
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,4503
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,4503
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4503
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,4503
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,4504
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4504
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,4504
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,4504
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4504
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,4504
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,4505
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4505
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,4505
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,4505
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4505
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,4505
ETOpenOpt,2100469,GPL SCAN PING NMAP,,,,,,32487
ETOpenOpt,2100384,GPL ICMP_INFO PING,,,,,,32487
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,,,,,,32487
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,,,,,32487
ETOpenOpt,2100469,GPL SCAN PING NMAP,,,,,,32487
ETOpenOpt,2100384,GPL ICMP_INFO PING,,,,,,32487
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,,,,,,32487
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,,,,,32487
ETOpenOpt,2100366,GPL ICMP_INFO PING *NIX,,,,,,4500
ETOpenOpt,2100384,GPL ICMP_INFO PING,,,,,,4500
ETOpenOpt,2100366,GPL ICMP_INFO PING *NIX,,,,,,4500
ETOpenOpt,2100384,GPL ICMP_INFO PING,,,,,,4500
ETOpenOpt,2100366,GPL ICMP_INFO PING *NIX,,,,,,4501
ETOpenOpt,2100384,GPL ICMP_INFO PING,,,,,,4501
ETOpenOpt,2100366,GPL ICMP_INFO PING *NIX,,,,,,4501
ETOpenOpt,2100384,GPL ICMP_INFO PING,,,,,,4501
ETOpenOpt,2100408,GPL ICMP_INFO Echo Reply,,,,,,21514
ETOpenOpt,2100408,GPL ICMP_INFO Echo Reply,,,,,,21514
ETOpenOpt,2100366,GPL ICMP_INFO PING *NIX,,,,,,4503
ETOpenOpt,2100384,GPL ICMP_INFO PING,,,,,,4503
ETOpenOpt,2100366,GPL ICMP_INFO PING *NIX,,,,,,4503
ETOpenOpt,2100384,GPL ICMP_INFO PING,,,,,,4503
ETOpenOpt,2100366,GPL ICMP_INFO PING *NIX,,,,,,4504
ETOpenOpt,2100384,GPL ICMP_INFO PING,,,,,,4504
ETOpenOpt,2100366,GPL ICMP_INFO PING *NIX,,,,,,4504
ETOpenOpt,2100384,GPL ICMP_INFO PING,,,,,,4504
ETOpenOpt,2100366,GPL ICMP_INFO PING *NIX,,,,,,4505
ETOpenOpt,2100384,GPL ICMP_INFO PING,,,,,,4505
ETOpenOpt,2100366,GPL ICMP_INFO PING *NIX,,,,,,4505
ETOpenOpt,2100384,GPL ICMP_INFO PING,,,,,,4505
