PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,192ADD75,172.16.1.2,34.120.208.123,49548,443,31763
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,192ADD75,172.16.1.2,34.120.208.123,49548,443,31763
ETOpenOpt,2100472,GPL ICMP_INFO redirect host,192ADD75,172.16.1.2,34.120.208.123,49548,443,29958
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,192ADD75,172.16.1.2,34.120.208.123,49548,443,29958
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,192ADD75,172.16.1.2,34.120.208.123,49548,443,29958
ETOpenOpt,2100472,GPL ICMP_INFO redirect host,ABD5B47,172.16.1.2,34.120.208.123,49558,443,29967
ETOpenOpt,2100472,GPL ICMP_INFO redirect host,DB9B2216,172.16.1.2,34.120.208.123,49560,443,30011
ETOpenOpt,2100472,GPL ICMP_INFO redirect host,2ECBDE5A,172.16.1.2,34.120.208.123,49550,443,30147
ETOpenOpt,2100472,GPL ICMP_INFO redirect host,192ADD75,172.16.1.2,34.120.208.123,49548,443,30624
ETOpenOpt,2100472,GPL ICMP_INFO redirect host,ABD5B47,172.16.1.2,34.120.208.123,49558,443,31595
