PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.70,239.255.255.250,52475,1900,556
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.70,239.255.255.250,52475,1900,558
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.70,239.255.255.250,52475,1900,560
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.70,239.255.255.250,52475,1900,561
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.70,239.255.255.250,52475,1900,562
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.70,239.255.255.250,52475,1900,563
Community,1448,"""POLICY-OTHER Microsoft Windows Terminal server request attempt""",F2514596,192.168.0.70,192.168.0.20,64984,3389,570
Community,1448,"""POLICY-OTHER Microsoft Windows Terminal server request attempt""",1DC37F9,192.168.0.70,192.168.0.20,64985,3389,574
Community,1448,"""POLICY-OTHER Microsoft Windows Terminal server request attempt""",39274BAC,192.168.0.70,192.168.0.100,64986,3389,776
Community,1448,"""POLICY-OTHER Microsoft Windows Terminal server request attempt""",B4C47D4F,192.168.0.20,192.168.0.70,49211,3389,1774
Community,1448,"""POLICY-OTHER Microsoft Windows Terminal server request attempt""",42B01BFF,192.168.0.20,192.168.0.70,49216,3389,1947
Community,1448,"""POLICY-OTHER Microsoft Windows Terminal server request attempt""",E4AA6214,192.168.0.20,192.168.0.70,49219,3389,1960
Community,1448,"""POLICY-OTHER Microsoft Windows Terminal server request attempt""",383ACC0D,192.168.0.70,192.168.0.20,64994,3389,1584
Community,1448,"""POLICY-OTHER Microsoft Windows Terminal server request attempt""",4D945DB7,192.168.0.70,192.168.0.20,64995,3389,1588
Community,1448,"""POLICY-OTHER Microsoft Windows Terminal server request attempt""",8DBA8506,192.168.0.70,192.168.0.20,64996,3389,2036
Community,1448,"""POLICY-OTHER Microsoft Windows Terminal server request attempt""",922753B4,192.168.0.70,192.168.0.20,64997,3389,2042
Community,1448,"""POLICY-OTHER Microsoft Windows Terminal server request attempt""",56FDB5DA,192.168.0.70,192.168.0.100,64998,3389,2206
Community,1448,"""POLICY-OTHER Microsoft Windows Terminal server request attempt""",F15AD5D6,192.168.0.70,192.168.0.100,65001,3389,2220
Community,1448,"""POLICY-OTHER Microsoft Windows Terminal server request attempt""",BF6C726F,192.168.0.70,192.168.0.20,65006,3389,2274
Community,1448,"""POLICY-OTHER Microsoft Windows Terminal server request attempt""",21B4136B,192.168.0.70,192.168.0.20,65007,3389,2278
Community,1448,"""POLICY-OTHER Microsoft Windows Terminal server request attempt""",B8DE130D,192.168.0.70,192.168.0.20,65008,3389,2401
Community,1448,"""POLICY-OTHER Microsoft Windows Terminal server request attempt""",9EE55FFA,192.168.0.70,192.168.0.20,65009,3389,2405
