PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,1292,"""INDICATOR-COMPROMISE directory listing""",3404542F,172.31.69.24,13.58.225.34,54751,31337,18438
Community,1292,"""INDICATOR-COMPROMISE directory listing""",340456E8,172.31.69.24,13.58.225.34,54751,31337,18445
Community,46983,"""INDICATOR-COMPROMISE Microsoft cmd.exe banner""",,,,,,
Talos,47398,"""INDICATOR-COMPROMISE Microsoft cmd.exe outbound shell attempt""",34045388,172.31.69.24,13.58.225.34,54751,31337,18432
Talos,1292,"""INDICATOR-COMPROMISE directory listing""",3404542F,172.31.69.24,13.58.225.34,54751,31337,18438
Talos,1292,"""INDICATOR-COMPROMISE directory listing""",340456E8,172.31.69.24,13.58.225.34,54751,31337,18445
Talos,46983,"""INDICATOR-COMPROMISE Microsoft cmd.exe banner""",,,,,,
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,225E7E52,172.31.69.24,13.58.225.34,51603,31337,18015
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,225E7E52,172.31.69.24,13.58.225.34,51603,31337,18015
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,55B52510,13.58.225.34,172.31.69.24,31337,51603,58007
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,225EB760,172.31.69.24,13.58.225.34,51603,31337,18069
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,225EB760,172.31.69.24,13.58.225.34,51603,31337,18069
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,55B52510,13.58.225.34,172.31.69.24,31337,51603,58061
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,225ED6A0,172.31.69.24,13.58.225.34,51603,31337,18098
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,225ED6A0,172.31.69.24,13.58.225.34,51603,31337,18098
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,55B52510,13.58.225.34,172.31.69.24,31337,51603,58090
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,225F1434,172.31.69.24,13.58.225.34,51603,31337,18166
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,225F1434,172.31.69.24,13.58.225.34,51603,31337,18166
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,55B52516,13.58.225.34,172.31.69.24,31337,51603,58159
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,225F4647,172.31.69.24,13.58.225.34,51603,31337,18220
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,225F4647,172.31.69.24,13.58.225.34,51603,31337,18220
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,55B52516,13.58.225.34,172.31.69.24,31337,51603,58213
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,225F68FC,172.31.69.24,13.58.225.34,51603,31337,18252
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,225F68FC,172.31.69.24,13.58.225.34,51603,31337,18252
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,55B52516,13.58.225.34,172.31.69.24,31337,51603,58245
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,225FA2AC,172.31.69.24,13.58.225.34,51603,31337,18314
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,225FA2AC,172.31.69.24,13.58.225.34,51603,31337,18314
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,55B52516,13.58.225.34,172.31.69.24,31337,51603,58307
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,55B52516,13.58.225.34,172.31.69.24,31337,51603,58330
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,225FB9B1,172.31.69.24,13.58.225.34,51603,31337,18337
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,225FB9B1,172.31.69.24,13.58.225.34,51603,31337,18337
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,225FEB29,172.31.69.24,13.58.225.34,51603,31337,18394
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,225FEB29,172.31.69.24,13.58.225.34,51603,31337,18394
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,55B5251C,13.58.225.34,172.31.69.24,31337,51603,58388
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,34045387,172.31.69.24,13.58.225.34,54751,31337,18428
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,34045387,172.31.69.24,13.58.225.34,54751,31337,18428
