PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2010781,ET POLICY PsExec service created,CB7E4BA2,,,,,0
ETOpen,2010781,ET POLICY PsExec service created,CB80FC32,,,,,0
ETOpen,2027237,ET NETBIOS DCERPC SVCCTL - Remote Service Control Manager Access,8505024E,,,,,0
ETOpen,2010781,ET POLICY PsExec service created,CB8147EA,,,,,0
ETOpen,2010781,ET POLICY PsExec service created,CB83597C,,,,,0
ETOpen,2010781,ET POLICY PsExec service created,CB835A34,,,,,0
ETOpen,2010781,ET POLICY PsExec service created,CB835B4A,,,,,0
ETOpen,2010781,ET POLICY PsExec service created,CB835C04,,,,,0
ETOpen,2010781,ET POLICY PsExec service created,CB835D1C,,,,,0
ETOpen,2010781,ET POLICY PsExec service created,CB835DD6,,,,,0
ETOpen,2010781,ET POLICY PsExec service created,CB8363AA,,,,,0
Talos,30281,"""POLICY-OTHER use of psexec remote administration tool SMBv2""",,,,,,
Talos,30281,"""POLICY-OTHER use of psexec remote administration tool SMBv2""",,,,,,
Talos,30281,"""POLICY-OTHER use of psexec remote administration tool SMBv2""",,,,,,
Talos,30281,"""POLICY-OTHER use of psexec remote administration tool SMBv2""",,,,,,
Talos,30281,"""POLICY-OTHER use of psexec remote administration tool SMBv2""",,,,,,
Talos,30281,"""POLICY-OTHER use of psexec remote administration tool SMBv2""",,,,,,
ETOpenOpt,2010781,ET POLICY PsExec service created,CB7E4BA2,,,,,0
ETOpenOpt,2010781,ET POLICY PsExec service created,CB80FC32,,,,,0
ETOpenOpt,2027237,ET NETBIOS DCERPC SVCCTL - Remote Service Control Manager Access,8505024E,,,,,0
ETOpenOpt,2010781,ET POLICY PsExec service created,CB8147EA,,,,,0
ETOpenOpt,2010781,ET POLICY PsExec service created,CB83597C,,,,,0
ETOpenOpt,2010781,ET POLICY PsExec service created,CB835A34,,,,,0
ETOpenOpt,2010781,ET POLICY PsExec service created,CB835B4A,,,,,0
ETOpenOpt,2010781,ET POLICY PsExec service created,CB835C04,,,,,0
ETOpenOpt,2010781,ET POLICY PsExec service created,CB835D1C,,,,,0
ETOpenOpt,2010781,ET POLICY PsExec service created,CB835DD6,,,,,0
ETOpenOpt,2010781,ET POLICY PsExec service created,CB8363AA,,,,,0
