PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2010937,ET SCAN Suspicious inbound to mySQL port 3306,9ADAEB80,172.16.1.2,172.16.2.2,48484,3306,32560
ETOpen,2010937,ET SCAN Suspicious inbound to mySQL port 3306,9ADAEB80,172.16.1.2,172.16.2.2,48484,3306,32561
ETOpen,2010937,ET SCAN Suspicious inbound to mySQL port 3306,16AB13,172.16.1.2,172.16.2.2,48502,3306,54374
ETOpen,2002911,ET SCAN Potential VNC Scan 5900-5920,7D511634,172.16.1.2,172.16.2.2,54184,5910,43742
ETOpen,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,BA4E67B0,172.16.1.2,172.16.2.2,40246,5432,34719
ETOpen,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,B8B0A71D,172.16.1.2,172.16.2.2,43006,1433,38010
ETOpen,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,BA9BF736,172.16.1.2,172.16.2.2,40394,5432,38463
ETOpen,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,92FD7A66,172.16.1.2,172.16.2.2,43154,1433,13369
ETOpen,2002910,ET SCAN Potential VNC Scan 5800-5820,DF5C6131,172.16.1.2,172.16.2.2,50576,5800,30306
ETOpen,2010936,ET SCAN Suspicious inbound to Oracle SQL port 1521,98D5A729,172.16.1.2,172.16.2.2,47304,1521,29938
ETOpen,2010936,ET SCAN Suspicious inbound to Oracle SQL port 1521,4D0D5664,172.16.1.2,172.16.2.2,47462,1521,6203
ETOpen,2018317,ET SCAN NMAP SIP Version Detect OPTIONS Scan,4406937A,172.16.1.2,172.16.2.2,43380,8080,51237
ETOpen,2013409,ET POLICY Outbound MSSQL Connection to Non-Standard Port - Likely Malware,2DA471FE,172.16.1.2,172.16.2.2,43396,8080,9684
ETOpen,2009358,ET SCAN Nmap Scripting Engine User-Agent Detected (Nmap Scripting Engine),C556EE51,172.16.1.2,172.16.2.2,43402,8080,86
ETOpen,2024364,ET SCAN Possible Nmap User-Agent Observed,C556EE51,172.16.1.2,172.16.2.2,43402,8080,86
ETOpen,2009358,ET SCAN Nmap Scripting Engine User-Agent Detected (Nmap Scripting Engine),23BB5396,172.16.1.2,172.16.2.2,35886,80,62078
ETOpen,2024364,ET SCAN Possible Nmap User-Agent Observed,23BB5396,172.16.1.2,172.16.2.2,35886,80,62078
