PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,1421,"""PROTOCOL-SNMP AgentX/tcp request""",29BF30A4,172.16.1.2,172.16.2.2,42882.0,705.0,26970.0
Community,1421,"""PROTOCOL-SNMP AgentX/tcp request""",D4225C31,172.16.1.2,172.16.2.2,43018.0,705.0,32320.0
Community,1418,"""PROTOCOL-SNMP request tcp""",8A22143C,172.16.1.2,172.16.2.2,55116.0,161.0,60817.0
Community,1418,"""PROTOCOL-SNMP request tcp""",2D2A91C2,172.16.1.2,172.16.2.2,55270.0,161.0,21159.0
ETOpen,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,BA4E67B0,172.16.1.2,172.16.2.2,40246.0,5432.0,34719.0
ETOpen,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,BA9BF736,172.16.1.2,172.16.2.2,40394.0,5432.0,38463.0
ETOpen,2010936,ET SCAN Suspicious inbound to Oracle SQL port 1521,98D5A729,172.16.1.2,172.16.2.2,47304.0,1521.0,29938.0
ETOpen,2010936,ET SCAN Suspicious inbound to Oracle SQL port 1521,4D0D5664,172.16.1.2,172.16.2.2,47462.0,1521.0,6203.0
ETOpen,2023753,ET SCAN MS Terminal Server Traffic on Non-standard Port,334395F5,172.16.1.2,172.16.2.2,43364.0,8080.0,37160.0
ETOpen,2018317,ET SCAN NMAP SIP Version Detect OPTIONS Scan,4406937A,172.16.1.2,172.16.2.2,43380.0,8080.0,51237.0
ETOpen,2034718,ET POLICY RMI Request Outbound,F9F16427,172.16.1.2,172.16.2.2,43390.0,8080.0,20167.0
ETOpen,2013409,ET POLICY Outbound MSSQL Connection to Non-Standard Port - Likely Malware,2DA471FE,172.16.1.2,172.16.2.2,43396.0,8080.0,9684.0
ETOpen,2034730,ET POLICY GIOP/IIOP Request Outbound,3796703E,172.16.1.2,172.16.2.2,43400.0,8080.0,30495.0
ETOpen,2009358,ET SCAN Nmap Scripting Engine User-Agent Detected (Nmap Scripting Engine),C556EE51,172.16.1.2,172.16.2.2,43402.0,8080.0,86.0
ETOpen,2024364,ET SCAN Possible Nmap User-Agent Observed,C556EE51,172.16.1.2,172.16.2.2,43402.0,8080.0,86.0
ETOpen,2009358,ET SCAN Nmap Scripting Engine User-Agent Detected (Nmap Scripting Engine),23BB5396,172.16.1.2,172.16.2.2,35886.0,80.0,62078.0
ETOpen,2024364,ET SCAN Possible Nmap User-Agent Observed,23BB5396,172.16.1.2,172.16.2.2,35886.0,80.0,62078.0
ETOpen,2009358,ET SCAN Nmap Scripting Engine User-Agent Detected (Nmap Scripting Engine),4394558C,172.16.1.2,172.16.2.2,35888.0,80.0,28460.0
