PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,55686,1900,14574
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,55686,1900,14575
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,55686,1900,14576
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,55686,1900,14577
ETOpen,2018959,ET POLICY PE EXE or DLL Windows file download HTTP,B36D5DF2,192.168.0.2,192.168.0.10,80,49790,7013
ETOpen,2035480,ET INFO PE EXE Download over raw TCP,90F51157,192.168.0.2,192.168.0.10,1234,49830,25060
ETOpen,2025644,ET TROJAN Possible Metasploit Payload Common Construct Bind_API (from server),90F6B1AB,192.168.0.2,192.168.0.10,1234,49830,25133
Talos,24303,"""PROTOCOL-ICMP IPv6 multicast neighbor add attempt""",,,,,,0
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,55686,1900,14574
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,55686,1900,14575
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,55686,1900,14576
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,55686,1900,14577
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.2,192.168.0.10,53,58333,48287
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.2,192.168.0.10,53,62386,48288
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.2,192.168.0.10,53,52676,48649
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.2,192.168.0.10,53,52578,48650
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,,,,,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,256
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,256
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,12276
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,,192.168.0.2,192.168.0.10,67,68,0
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,192.168.0.2,192.168.0.10,67,68,0
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,,192.168.0.10,192.168.0.2,50807,53,58923
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,192.168.0.10,192.168.0.2,50807,53,58923
ETOpenOpt,2001117,"ET DNS Standard query response, Name Error",,192.168.0.2,192.168.0.10,53,50807,40770
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,256
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,256
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,256
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,256
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,256
ETOpenOpt,2001117,"ET DNS Standard query response, Name Error",,192.168.0.2,192.168.0.10,53,54648,41005
ETOpenOpt,2001117,"ET DNS Standard query response, Name Error",,192.168.0.2,192.168.0.10,53,62486,41011
ETOpenOpt,2001117,"ET DNS Standard query response, Name Error",,192.168.0.2,192.168.0.10,53,56656,41713
ETOpenOpt,2001117,"ET DNS Standard query response, Name Error",,192.168.0.2,192.168.0.10,53,55287,42827
ETOpenOpt,2001117,"ET DNS Standard query response, Name Error",,192.168.0.2,192.168.0.10,53,62827,45281
ETOpenOpt,2001117,"ET DNS Standard query response, Name Error",,192.168.0.2,192.168.0.10,53,51507,45562
ETOpenOpt,2101917,GPL MISC UPnP service discover attempt,,192.168.0.10,239.255.255.250,55686,1900,14574
ETOpenOpt,2101917,GPL MISC UPnP service discover attempt,,192.168.0.10,239.255.255.250,55686,1900,14575
ETOpenOpt,2101917,GPL MISC UPnP service discover attempt,,192.168.0.10,239.255.255.250,55686,1900,14576
ETOpenOpt,2101917,GPL MISC UPnP service discover attempt,,192.168.0.10,239.255.255.250,55686,1900,14577
ETOpenOpt,2001117,"ET DNS Standard query response, Name Error",,192.168.0.2,192.168.0.10,53,57146,46152
ETOpenOpt,2001117,"ET DNS Standard query response, Name Error",,192.168.0.2,192.168.0.10,53,63406,47625
ETOpenOpt,2003595,ET POLICY exe download via HTTP - Informational,2A9BBEF7,192.168.0.10,192.168.0.2,49790,80,7011
ETOpenOpt,2018959,ET POLICY PE EXE or DLL Windows file download HTTP,B36D5DF2,192.168.0.2,192.168.0.10,80,49790,7013
ETOpenOpt,2101200,GPL ATTACK_RESPONSE Invalid URL,B36E0EBE,192.168.0.2,192.168.0.10,80,49790,7044
ETOpenOpt,2001117,"ET DNS Standard query response, Name Error",,192.168.0.2,192.168.0.10,53,63485,49235
ETOpenOpt,2001117,"ET DNS Standard query response, Name Error",,192.168.0.2,192.168.0.10,53,62939,50060
ETOpenOpt,2035480,ET INFO PE EXE Download over raw TCP,90F51157,192.168.0.2,192.168.0.10,1234,49830,25060
ETOpenOpt,2000419,ET POLICY PE EXE or DLL Windows file download Non-HTTP,90F51157,192.168.0.2,192.168.0.10,1234,49830,25060
ETOpenOpt,2025644,ET TROJAN Possible Metasploit Payload Common Construct Bind_API (from server),90F6B1AB,192.168.0.2,192.168.0.10,1234,49830,25133
ETOpenOpt,2001117,"ET DNS Standard query response, Name Error",,192.168.0.2,192.168.0.10,53,53804,54526
