PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,55686,1900,14574
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,55686,1900,14575
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,55686,1900,14576
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,55686,1900,14577
ETOpen,2018959,ET POLICY PE EXE or DLL Windows file download HTTP,B36D5DF2,192.168.0.2,192.168.0.10,80,49790,7013
ETOpen,2035480,ET INFO PE EXE Download over raw TCP,90F51157,192.168.0.2,192.168.0.10,1234,49830,25060
ETOpen,2025644,ET TROJAN Possible Metasploit Payload Common Construct Bind_API (from server),90F6B1AB,192.168.0.2,192.168.0.10,1234,49830,25133
Talos,24303,"""PROTOCOL-ICMP IPv6 multicast neighbor add attempt""",,,,,,0
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,55686,1900,14574
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,55686,1900,14575
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,55686,1900,14576
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,55686,1900,14577
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.2,192.168.0.10,53,58333,48287
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.2,192.168.0.10,53,62386,48288
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.2,192.168.0.10,53,52676,48649
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.2,192.168.0.10,53,52578,48650
ETOpenOpt,2003595,ET POLICY exe download via HTTP - Informational,2A9BBEF7,192.168.0.10,192.168.0.2,49790,80,7011
ETOpenOpt,2018959,ET POLICY PE EXE or DLL Windows file download HTTP,B36D5DF2,192.168.0.2,192.168.0.10,80,49790,7013
ETOpenOpt,2101200,GPL ATTACK_RESPONSE Invalid URL,B36E0EBE,192.168.0.2,192.168.0.10,80,49790,7044
ETOpenOpt,2035480,ET INFO PE EXE Download over raw TCP,90F51157,192.168.0.2,192.168.0.10,1234,49830,25060
ETOpenOpt,2000419,ET POLICY PE EXE or DLL Windows file download Non-HTTP,90F51157,192.168.0.2,192.168.0.10,1234,49830,25060
ETOpenOpt,2025644,ET TROJAN Possible Metasploit Payload Common Construct Bind_API (from server),90F6B1AB,192.168.0.2,192.168.0.10,1234,49830,25133
