Nº alertas = 318
 [1:1071:15] "SERVER-WEBAPP .htpasswd access attempt" 
 [1:1242:24] "SERVER-IIS ISAPI .ida access" 
 [1:1131:14] "SERVER-WEBAPP .wwwacl access" 
 [1:1130:14] "SERVER-WEBAPP .wwwacl access" 
 [1:1044:17] "SERVER-IIS webhits access" 
 [1:1129:16] "SERVER-WEBAPP .htaccess access" 
 [1:987:32] "FILE-IDENTIFY .htr access file download request" 
 [1:1245:24] "SERVER-IIS ISAPI .idq access" 
 [1:977:25] "SERVER-IIS .cnf access" 
 [1:971:28] "SERVER-IIS ISAPI .printer access" 
 [1:1880:13] "SERVER-WEBAPP oracle web application server access" 
 [1:1852:11] "SERVER-WEBAPP robots.txt access" 
 [1:1145:17] "SERVER-WEBAPP root access" 
 [1:2056:12] "SERVER-WEBAPP TRACE attempt" 
 [1:913:18] "SERVER-OTHER Adobe Coldfusion cfappman access" 
 [1:914:18] "SERVER-OTHER Adobe Coldfusion beaninfo access" 
 [1:912:18] "SERVER-OTHER Adobe Coldfusion parks access" 
 [1:985:22] "SERVER-IIS JET VBA access" 
 [1:1400:18] "SERVER-IIS /scripts/samples/ access" 
 [1:962:25] "SERVER-OTHER Microsoft Frontpage shtml.exe access" 
 [1:1288:18] "SERVER-OTHER Microsoft Frontpage /_vti_bin/ access" 
 [1:853:17] "SERVER-WEBAPP wrap access" 
 [1:2152:13] "SERVER-WEBAPP test.php access" 
 [1:1738:13] "SERVER-WEBAPP global.inc access" 
 [1:1875:13] "SERVER-WEBAPP cgicso access" 
 [1:1301:23] "SERVER-WEBAPP admin.php access" 
 [1:2002:18] "SERVER-WEBAPP remote include path attempt" 
 [1:918:19] "SERVER-OTHER Adobe Coldfusion expeval access" 
 [1:999:19] "SERVER-IIS bdir access" 
 [1:1000:23] "SERVER-IIS bdir.htr access" 
 [1:993:22] "SERVER-IIS iisadmin access" 
 [1:1486:18] "SERVER-IIS ctss.idc access" 
 [1:1172:18] "SERVER-WEBAPP bigconf.cgi access" 
 [1:857:26] "SERVER-WEBAPP faxsurvey access" 
 [1:1284:17] "SERVER-OTHER readme.eml download attempt" 
 [1:3201:14] "SERVER-IIS httpodbc.dll access - nimda" 
 [1:986:20] "SERVER-IIS MSProxy access" 
 [1:1256:20] "SERVER-IIS CodeRed v2 root.exe access" 
 [1:1016:26] "SERVER-IIS global.asa access" 
 [1:1826:17] "SERVER-WEBAPP WEB-INF access" 
 [1:1482:19] "SERVER-WEBAPP view_source access" 
