Fichero PCAP,Nº de Flujos con Ataque NO DETECTADOS,Nº Flujos con Ataque en el PCAP,Nº Alertas IPS (Ataque) generadas (Attackids),Attackids de Alertas IPS generadas,Nº Alertas APP-CTRL generadas (Appid),Nº Flujos con Ataque Detectados por IPS,Nº Flujos con Ataque Detectados por APP-CTRL,Nº Flujos con Ataque Detectados Totales,Alerta Identificada (Ataque) que NO está saltando,Categoría del Ataque,Explicación
T1001.002-Data_obfuscation_steganography_[4].pcapng,1,1,0,-,1,0,0,0,,L1,
T1001.003-Data_obfuscation_protocol_impersonation_[4].pcapng,1,1,0,-,1,0,0,0,,L1,
T1008-Fallback_channels_[4].pcapng,2,2,1,52169,6,0,0,0,,L1,"La/s alerta/s generadas hacen referencia a ataques colaterales, no al ataque principal"
T1018-service_discovery_[3].pcapng,996,1002,1,43814,0,6,0,6,,L1,
T1020.001-Automated_exfiltration_traffic_duplication_[4].pcapng,1,1,0,-,4,0,0,0,,L1,
T1029-Scheduled_transfer_[4].pcapng,1,1,1,52169,3,0,0,0,,L1,"La/s alerta/s generadas hacen referencia a ataques colaterales, no al ataque principal"
T1030-Transfer_Size_Limits_[5].pcapng,1,1,0,-,4,0,0,0,,L2,
T1033-System_owner_[4].pcapng,1,1,0,-,5,0,0,0,,L2,
T1040-Autenticacion_[1].pcapng,1,1,0,-,0,0,0,0,,L1,
T1040-Chopchop_[1].pcapng,1,1,0,-,0,0,0,0,,L1,
T1040-Fragmentacion_[1].pcapng,1,1,0,-,0,0,0,0,,L1,
T1040-Mac_flood_[1].pcapng,10674,10674,0,-,0,0,0,0,,L1,
T1046-Version_services_detection2_[3].pcapng,65673,65680,1,45360,7,4,3,7,,L1,
T1046-C2018_[6].pcapng,1,1,1,12449,0,0,0,0,,L1,"La/s alerta/s generadas hacen referencia a ataques colaterales, no al ataque principal"
T1047-WinRM_[2].pcapng,450,450,0,-,3,0,0,0,MS.WinRM.Script.Exec.Remote.Code.Execution,L1,
T1048.003-Exfiltration_over_ICMP_[2].pcapng,1,1,0,-,1,0,0,0,,L1,
T1048.003-Exfiltration_over_FTP_[3].pcapng,1,1,0,-,2,0,0,0,,L1,
T1053.002-Scheduled_TaskJob_At_[5].pcapng,1,1,1,52676,1,0,0,0,,L1,"La/s alerta/s generadas hacen referencia a ataques colaterales, no al ataque principal"
T1071-Tunel_[1].pcapng,9,10,1,48370,2,1,0,1,,L1,
T1087.002-AccountDiscovery_DomainAccount_[5].pcapng,1,1,1,52676,1,0,0,0,,L2,"La/s alerta/s generadas hacen referencia a ataques colaterales, no al ataque principal"
