Fichero PCAP	Nº de Flujos con Ataque NO DETECTADOS	Nº Flujos con Ataque en el PCAP	Nº Alertas IPS (Ataque) generadas (Attackids)	Attackids de Alertas IPS generadas	Nº Alertas APP-CTRL generadas (Appid)	Nº Flujos con Ataque Detectados por IPS	Nº Flujos con Ataque Detectados por APP-CTRL	Nº Flujos con Ataque Detectados Totales	Alerta Identificada (Ataque) que NO está saltando	Categoría del Ataque	Explicación
T1001.002-Data_obfuscation_steganography_[4].pcapng	1	1	0	-	1	0	0	0		L1	No se han generado alertas y el control de aplicaciones sólo detecta el uso de SSH, siendo insuficiente
T1001.003-Data_obfuscation_protocol_impersonation_[4].pcapng	1	1	0	-	1	0	0	0		L1	No se han generado alertas y el control de aplicaciones no detecta el uso del protocolo falso TLS
T1020.001-Automated_exfiltration_traffic_duplication_[4].pcapng	1	1	0	-	4	0	0	0		L1	Las alertas de control de aplicaciones sólo muestran los protocolos usados, pero no indagan en la ejecución del script de duplicado
T1030-Transfer_Size_Limits_[5].pcapng	1	1	0	-	4	0	0	0		L2	El control de aplicaciones sólo indica el uso de FTP
T1033-System_owner_[4].pcapng	1	1	0	-	5	0	0	0		L2	El control de aplicaciones sólo indica el uso de SMB o funciones de compartición de archivos. No es suficiente para determinar que se está recogiendo información de usuarios del sistema
T1040-Autenticacion_[1].pcapng	1	1	0	-	0	0	0	0		L1	FUERA DEL ALCANCE DEL IDS (NO ES RELEVANTE)
T1040-Chopchop_[1].pcapng	1	1	0	-	0	0	0	0		L1	FUERA DEL ALCANCE DEL IDS (NO ES RELEVANTE)
T1040-Fragmentacion_[1].pcapng	1	1	0	-	0	0	0	0		L1	FUERA DEL ALCANCE DEL IDS (NO ES RELEVANTE)
T1040-Mac_flood_[1].pcapng	10674	10674	0	-	0	0	0	0		L1	FUERA DEL ALCANCE DEL IDS (NO ES RELEVANTE)
T1046-C2018_[6].pcapng	1	1	1	12449	0	0	0	0		L1	La alerta generada hace referencia a un establecimiento de sesión previo (ataque colateral). Respecto al ataque princiapal, se desconoce el verdadero ataque subyacente en la captura, por lo que no cuenta para los análisis
T1047-WinRM_[2].pcapng	450	450	0	-	3	0	0	0	MS.WinRM.Script.Exec.Remote.Code.Execution	L1	No se han generado alertas y el control de aplicación solo detecta el uso del navegador Firefox
T1048.003-Exfiltration_over_FTP_[3].pcapng	1	1	0	-	2	0	0	0		L1	El control de aplicaciones sólo detecta el uso de FTP
T1048.003-Exfiltration_over_ICMP_[2].pcapng	1	1	0	-	1	0	0	0		L1	El control de aplicaciones sólo detecta el uso de Ping
T1110.001-FTP-C2018_[6].pcapng	190300	190300	0	-	0	0	0	0	FTP.Login.Brute.Force	L1	No se genera ninguna alerta, ni IPS ni de control
T1110-Diccionario_[1].pcapng	1	1	0	-	0	0	0	0		L1	FUERA DEL ALCANCE DEL IDS (NO ES RELEVANTE)
T1110-pmkid_[1].pcapng	1	1	0	-	0	0	0	0		L1	FUERA DEL ALCANCE DEL IDS (NO ES RELEVANTE)
