Fichero PCAP	Nº de Flujos con Ataque NO DETECTADOS	Nº Flujos con Ataque en el PCAP	Nº Alertas IPS (Ataque) generadas (Attackids)	Attackids de Alertas IPS generadas	Nº Alertas APP-CTRL generadas (Appid)	Nº Flujos con Ataque Detectados por IPS	Nº Flujos con Ataque Detectados por APP-CTRL	Nº Flujos con Ataque Detectados Totales	Alerta Identificada (Ataque) que NO está saltando	Categoría del Ataque	Explicación
T1001.002-Data_obfuscation_steganography_[4].pcapng	1	1	0	-	1	0	0	0		L1	El control de aplicaciones sólo detecta el uso de SSH, siendo insuficiente
T1001.003-Data_obfuscation_protocol_impersonation_[4].pcapng	1	1	0	-	1	0	0	0		L1	El control de aplicaciones no detecta el uso del protocolo falso TLS
T1020.001-Automated_exfiltration_traffic_duplication_[4].pcapng	1	1	0	-	4	0	0	0		L1	Las alertas de control de aplicaciones sólo muestran los protocolos usados, pero no indagan en la ejecución del script de duplicado
T1030-Transfer_Size_Limits_[5].pcapng	1	1	0	-	4	0	0	0		L2	El control de aplicaciones sólo indica el uso de FTP
T1033-System_owner_[4].pcapng	1	1	0	-	5	0	0	0		L2	El control de aplicaciones sólo indica el uso de SMB o funciones de compartición de archivos. No es suficiente para determinar que se está recogiendo información de usuarios del sistema
T1047-WinRM_[2].pcapng	450	450	0	-	3	0	0	0	MS.WinRM.Script.Exec.Remote.Code.Execution	L1	
T1048.003-Exfiltration_over_ICMP_[2].pcapng	1	1	0	-	1	0	0	0		L1	El control de aplicaciones sólo detecta el uso de Ping
T1048.003-Exfiltration_over_FTP_[3].pcapng	1	1	0	-	2	0	0	0		L1	El control de aplicaciones sólo detecta el uso de FTP
T1112-Modify_registry_[4].pcapng	1	1	0	-	6	0	0	0		L2	El control de aplicaciones no marca el uso de la funcionalidad de registro remoto
T1114-Email_collection_remote_email_collection_[4].pcapng	3	3	0	-	5	0	0	0		L2	
T1132.001-Standard_Encoding_[5].pcapng	5	5	0	-	3	0	0	0		L1	
T1133-External_remote_services_[4].pcapng	1	1	0	-	7	0	0	0		L2	El control de aplicaciones no marca el acceso a la VPN
T1176-Browser-extension_[4].pcapng	212	212	0	-	3	0	0	0		L1	El control de aplicaciones no marca el uso de una extensión, sino el uso de un navegador. No se puede determinar como válida
T1187-Forced_Authentication_[5].pcapng	1	1	0	-	3	0	0	0		L1	El control de aplicaciones sólo marca la funcionalidad de compartición de archivos, nada más
T1187-Forced_Authentication2_[5].pcapng	1	1	0	-	2	0	0	0		L1	El control de aplicaciones sólo marca la funcionalidad de compartición de archivos, nada más
T1189-Drive-by_compromise_v2_[4].pcapng	1	1	0	-	1	0	0	0		L1	El control de aplicaciones sólo marca el uso del navegador y las peticiones HTTP
T1197-BITS_Jobs_[5].pcapng	9	9	0	-	9	0	0	0		L1	
T1199-Trusted_relationship_[4].pcapng	2	2	0	-	4	0	0	0		L2	
T1200-Hardware_Additions_[5].pcapng	1	1	0	-	3	0	0	0		L1	El control de aplicaciones sólo marca el uso de RDP, nada más
T1203-C2018_[6].pcapng	116	116	0	-	1	0	0	0		L1	
