Fichero PCAP,Nº Flujos con Ataque en el PCAP,Nº Alertas IPS (Ataque) generadas,Nº Flujos con Ataque Detectados (Principales) IPS,¿Alerta de firmas de aplicación?,Alerta Identificada que NO está saltando,Categoría del Ataque,Explicacion
T1001.002-Data_obfuscation_steganography_[4].pcapng,1,1,0,-,-,L1,Inserción de información confidencial en una imagen JPG
T1001.003-Data_obfuscation_protocol_impersonation_[4].pcapng,1,2,0,-,-,L1,Falsificación de protocolos de conexión segura como SSL o TLS
T1008-Fallback_channels_[4].pcapng,2,15,0,-,-,L1,Traspaso de canal primario C2 a canal alternativo
T1020.001-Automated_exfiltration_traffic_duplication_[4].pcapng,1,2,0,-,-,L1,Ejecución de script en Python para activar el reenvío de paquetes en el equipo víctima
T1029-Scheduled_transfer_[4].pcapng,1,8,0,-,-,L1,Comunicación C2 para el establecimiento de extracción programada
T1033-System_owner_[4].pcapng,1,5,0,-,-,L2,Descubrimiento de sesión de usuario en equipo remoto
T1046-Version_services_detection1_[3].pcapng,158,7336,157,-,-,L1,Mútliples actividades de escaneo incluidas el intento de Shell Remoto aprovechando el conocimiento de la red victima
T1046-Version_services_detection2_[3].pcapng,65680,7,65467,proto=tcp app=incomplete,-,L1,Descubrimiento de servicios y version
T1046-C2018_[6].pcapng,1,1,0,-,-,L1,Descubrimiento de servicios y version
T1053.002-Scheduled_TaskJob_At_[5].pcapng,1,20,0,-,-,L1,Ejecución de tarea mediante uso de comando at para programar la hora de la ejecución
T1070-Indicator_removal_network_share_connection_removal_[4].pcapng,1,1,0,-,-,L2,Eliminación de conexiones establecidas via Network Share en Windows
T1087.002-AccountDiscovery_DomainAccount_[5].pcapng,1,11,0,-,-,L2,Descubrimiento de cuentas de dominio en entorno Active Directory
T1090-Proxy_internal_proxy_[4].pcapng,1,53,0,-,-,L1,Uso de Equipo interno como Proxy para el ataque C2
T1095-Non_Application_Layer_[3].pcapng,1,2,0,-,-,L1,Usar un protocolo que no sea de la capa de Aplicacion en el modelo OSI para esconder la conexión de C2. En este caso utilizamos TCP
T1102.003-Web_service-one_way_communication_[4].pcapng,1,8,0,Google-base,-,L1,Subida de información confidencial a Workspace de Google Drive
T1104-Multi_stage_channels_[4].pcapng,1,6,0,-,-,L1,Sesión Remota + Ataque C2
T1110.001-SSH-C2018_[6].pcapng,91642,366860,14147,SSH,-,L1,PTW/KoreK/FMS
T1112-Modify_registry_[4].pcapng,1,6,0,-,-,L2,Modificación del Registro de forma remota
T1114-Email_collection_remote_email_collection_[4].pcapng,3,6,0,-,-,L2,Recolección de correos electrónicos de un servidor Microsoft Exchange haciendo uso de credenciales robadas
T1189-Drive-by_compromise_v1_[4].pcapng,3,5,0,,-,L1,HTML Exploit I - HTML Compilador
T1189-Drive-by_compromise_v2_[4].pcapng,1,4,0,,-,L1,HTML Exploit II - Descarga de Ejecutable
T1203-C2018_[6].pcapng,116,345,0,-,-,L1,Ataque con Botnet
T1205.001-Port_Knocking_[3].pcapng,1,1,0,-,-,L1,Esconder y activar un puerto de forma remota
T1213-SQL_inyection_[3].pcapng,1,2,0,-,-,L1,Inyección SQL
T1218.010-COM_Scriptlet_[2].pcapng,1,1,0,-,-,L1,Ejecución de COM scriptlet remoto
T1221-Template_Injection_[5].pcapng,1,6,0,-,-,L2,Inyectar un fichero mediante Phishing .docx con macros modificadas que permita pasar desapercibido
T1482-Domain_trust_discovery_[4].pcapng,1,1,0,-,-,L2,Descubrimiento de dominios de confianza en entorno Active Directory
T1498.001-HTTP_flood-C2018_[6].pcapng,29179,288572,16335,,-,L1,Inundación HTTP
T1498.001-TCP_flood-C2018_[6].pcapng,536494,22559,22559,-,-,L1,Inundación tabla MAC
T1498-Fraggle_[1].pcapng,1,1,0,-,-,L1,Inundación UDP
T1499.02-Slowloris-C2018_[6].pcapng,6979,19039,4789,-,-,L1,Envio solicitudes HTTP a baja tasa
T1499.03-GoldenEye-C2018_[6].pcapng,27772,54526,14116,-,-,L1,Denegación de servicio a servidor web
T1537-Transfer_Data_to_Cloud_Account_[5].pcapng,2,17,0,ms-onedrive-business -- file sharing,-,L2,Transferir archivos de una cuenta a otra mediante un servicio en la nube
T1542.005-TFTP_Boot_[5].pcapng,1,3,0,tftp -- file sharing,-,L1,Modificación de imagen de SO mediante la suplantación de un Server TFTP
T1566.001-C2018_[6].pcapng,1,2,0,-,-,L1,Envío de emails con documentos maliciosos
T1566.002-Spearphishing_Link_[5].pcapng,1,1,0,-,-,L1,Obtener un acceso inicial mediante ingeniería social utilizando un enlace adjunto en un correo que descargue un fichero que establezca una sesión al equipo víctima
T1567.002-Exfiltration_To_Cloud_Storage_[5].pcapng,1,4,0,google-drive-web-base -- file sharing,-,L2,Exfiltrar datos de un equipo a la nube
T1568-fastFluxDNS_[5].pcapng,123,17,0,-,-,L1,Esconder un C2 Server mediante un servidor DNS con bajo TTL y modo Fast Flux
T1569-System_services_service_execution_[4].pcapng,11,2,1,-,-,L2,Ejecución de un Servicio / Fichero Ejecutable de manera remota


















































T1584.005-C2018_[6].pcapng,81521,66,0,vimeo-base -- photo video / ms-rdp -- remote access /,-,L1,Uso de Botnet
T1585.001-Establish_social_accounts_[4].pcapng,1,248,0,-,-,L2,Creación de cuentas de redes sociales
T1586.001-Compromise_Accounts_[2].pcapng,6951,697509,6949,-,-,L1,Fuerza bruta para acceso a web
