Fichero PCAP,Nº Flujos con Ataque en el PCAP,Nº Alertas IPS (Ataque) generadas,Nº Flujos con Ataque Detectados (Principales) IPS,¿Alerta de firmas de aplicación?,Alerta Identificada que NO está saltando,Categoría del Ataque
T1001.002-Data_obfuscation_steganography_[4].pcapng,1,1,0,-,-,L1
T1001.003-Data_obfuscation_protocol_impersonation_[4].pcapng,1,2,0,-,-,L1
T1003-Os_credential_dumping_dcsync_[4].pcapng,1,-,0,-,-,L1
T1008-Fallback_channels_[4].pcapng,2,15,0,-,-,L1
T1011-Exfiltration_over_bluetooth_[4].pcapng,1,-,0,-,-,L1
T1018-service_discovery_[3].pcapng,1002,-,0,-,-,L1
T1020.001-Automated_exfiltration_traffic_duplication_[4].pcapng,1,2,0,-,-,L1
T1029-Scheduled_transfer_[4].pcapng,1,8,0,-,-,L1
T1030-Transfer_Size_Limits_[5].pcapng,1,-,0,FTP,-,L2
T1033-System_owner_[4].pcapng,1,5,0,-,-,L2
T1040-Autenticacion_[1].pcapng,1,-,0,-,-,L1
T1040-Fragmentacion_[1].pcapng,1,-,0,-,-,L1
T1040-Mac_flood_[1].pcapng,10674,-,0,-,-,L1
T1040-Chopchop_[1].pcapng,1,-,0,-,-,L1
T1041-exfiltration_over_c2_channel_[3].pcapng,1,-,0,Web Browsing - Able to transfer file,-,L1
T1046-C2018_[6].pcapng,1,1,0,-,-,L1
T1047-WinRM_[2].pcapng,450,-,0,-,-,L1
T1053.002-Scheduled_TaskJob_At_[5].pcapng,1,20,0,-,-,L1
T1070-Indicator_removal_network_share_connection_removal_[4].pcapng,1,1,0,-,-,L2
T1087.002-AccountDiscovery_DomainAccount_[5].pcapng,1,11,0,-,-,L2
T1090-Proxy_internal_proxy_[4].pcapng,1,53,0,-,-,L1
T1095-Non_Application_Layer_[3].pcapng,1,2,0,-,-,L1
T1102.003-Web_service-one_way_communication_[4].pcapng,1,8,0,Google-base,-,L1
T1104-Multi_stage_channels_[4].pcapng,1,6,0,-,-,L1
T1110.001-FTP-C2018_[6].pcapng,190300,-,0,-,-,L1
T1110-Wps_[1].pcapng,1,-,0,-,-,L1
T1110-pmkid_[1].pcapng,1,-,0,-,-,L1
T1110-Ptw_korek_[1].pcapng,1,-,0,-,-,L1
T1110-Diccionario_[1].pcapng,1,-,0,-,-,L1
T1112-Modify_registry_[4].pcapng,1,6,0,-,-,L2
T1114-Email_collection_remote_email_collection_[4].pcapng,3,6,0,-,-,L2
T1133-External_remote_services_[4].pcapng,1,-,0,-,-,L2
T1189-Drive-by_compromise_v1_[4].pcapng,3,5,0,,-,L1
T1189-Drive-by_compromise_v2_[4].pcapng,1,4,0,,-,L1
T1197-BITS_Jobs_[5].pcapng,9,-,0,-,-,L1
T1200-Hardware_Additions_[5].pcapng,1,-,0,-,-,L1
