attackid,severity,attack,service,srcip,dstip,subtype,eventtype
44780,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,ips,signature
12648,medium,HTPasswd.Access,HTTP,172.16.1.2,172.16.2.2,ips,signature
15229,medium,Apache.Expect.Header.XSS,HTTP,172.16.1.2,172.16.2.2,ips,signature
15463,high,PHP.URI.Code.Injection,HTTP,172.16.1.2,172.16.2.2,ips,signature
46767,medium,Novell.NetBasic.Scripting.Server.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,ips,signature
27560,low,NaviCOPA.Source.Code.Information.Disclosure,HTTP,172.16.1.2,172.16.2.2,ips,signature
43336,high,Web.Server.Password.File.Access,HTTP,172.16.1.2,172.16.2.2,ips,signature
12015,high,MS.IIS.Web.Server.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,ips,signature
30908,medium,Oxide.WebServer.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,ips,signature
13106,medium,Php.Exe.Disclosure,HTTP,172.16.1.2,172.16.2.2,ips,signature
24975,medium,HTTP.Malformed.Request.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,ips,signature
13011,high,Apache.DOS.Batch.Script.Parsing.Command.Execution,HTTP,172.16.1.2,172.16.2.2,ips,signature
18057,medium,Netscape.Search.NS.Query.Pat.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,ips,signature
15621,high,HTTP.URI.SQL.Injection,HTTP,172.16.1.2,172.16.2.2,ips,signature
10574,medium,HTTP.URI.Script.XSS,HTTP,172.16.1.2,172.16.2.2,ips,signature
34971,medium,NetworkActiv.Web.Server.XSS,HTTP,172.16.1.2,172.16.2.2,ips,signature
12577,critical,Cisco.Command.Execution,HTTP,172.16.1.2,172.16.2.2,ips,signature
10181,high,phpBB.Viewtopic.Highlight.Remote.Code.Execution,HTTP,172.16.1.2,172.16.2.2,ips,signature
12758,low,MS.IIS.IndexServer.Disclosure,HTTP,172.16.1.2,172.16.2.2,ips,signature
12709,low,MS.IIS.IISadmpwd.HTR.File.Access.Security.Bypass,HTTP,172.16.1.2,172.16.2.2,ips,signature
12979,medium,Administrators.PWD,HTTP,172.16.1.2,172.16.2.2,ips,signature
50825,high,Apache.HTTP.Server.cgi-bin.Path.Traversal,HTTP,172.16.1.2,172.16.2.2,ips,signature
12980,high,ANS.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,ips,signature
10003,medium,MS.IIS.Web.Application.SourceCode.Disclosure,HTTP,172.16.1.2,172.16.2.2,ips,signature
48010,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
15117,medium,NuclearBB.Root.Path.Parameter.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
29613,high,SQuery.LibPath.Parameter.Multiple.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
14946,low,Flip.Previewtheme.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
15091,high,Ajax.File.Browser.approot.Parameter.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
14950,low,NcasterCMS.Archive.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
14857,high,RipeCMS.Parameter.Level.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
