PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,1071,"""SERVER-WEBAPP .htpasswd access attempt""",,,,,,
Community,1242,"""SERVER-IIS ISAPI .ida access""",,,,,,
Community,1131,"""SERVER-WEBAPP .wwwacl access""",,,,,,
Community,1130,"""SERVER-WEBAPP .wwwacl access""",,,,,,
Community,1044,"""SERVER-IIS webhits access""",,,,,,
Community,1129,"""SERVER-WEBAPP .htaccess access""",,,,,,
Community,987,"""FILE-IDENTIFY .htr access file download request""",,,,,,
Community,1129,"""SERVER-WEBAPP .htaccess access""",,,,,,
Community,1245,"""SERVER-IIS ISAPI .idq access""",,,,,,
Community,977,"""SERVER-IIS .cnf access""",,,,,,
Community,971,"""SERVER-IIS ISAPI .printer access""",,,,,,
Community,1880,"""SERVER-WEBAPP oracle web application server access""",,,,,,
Community,1852,"""SERVER-WEBAPP robots.txt access""",,,,,,
Community,1145,"""SERVER-WEBAPP root access""",,,,,,
Community,2056,"""SERVER-WEBAPP TRACE attempt""",F087199D,172.16.1.2,172.16.2.2,50874,80,43753
Community,913,"""SERVER-OTHER Adobe Coldfusion cfappman access""",,,,,,
Community,914,"""SERVER-OTHER Adobe Coldfusion beaninfo access""",,,,,,
Community,912,"""SERVER-OTHER Adobe Coldfusion parks access""",,,,,,
Community,985,"""SERVER-IIS JET VBA access""",,,,,,
Community,1400,"""SERVER-IIS /scripts/samples/ access""",,,,,,
Community,962,"""SERVER-OTHER Microsoft Frontpage shtml.exe access""",,,,,,
Community,1288,"""SERVER-OTHER Microsoft Frontpage /_vti_bin/ access""",,,,,,
Community,1145,"""SERVER-WEBAPP root access""",,,,,,
Community,853,"""SERVER-WEBAPP wrap access""",,,,,,
Community,2152,"""SERVER-WEBAPP test.php access""",,,,,,
Community,2152,"""SERVER-WEBAPP test.php access""",,,,,,
Community,2152,"""SERVER-WEBAPP test.php access""",,,,,,
Community,2152,"""SERVER-WEBAPP test.php access""",,,,,,
Community,1738,"""SERVER-WEBAPP global.inc access""",,,,,,
Community,1875,"""SERVER-WEBAPP cgicso access""",,,,,,
Community,1301,"""SERVER-WEBAPP admin.php access""",,,,,,
Community,2002,"""SERVER-WEBAPP remote include path attempt""",,,,,,
Community,918,"""SERVER-OTHER Adobe Coldfusion expeval access""",,,,,,
Community,999,"""SERVER-IIS bdir access""",,,,,,
Community,1000,"""SERVER-IIS bdir.htr access""",,,,,,
Community,993,"""SERVER-IIS iisadmin access""",,,,,,
Community,993,"""SERVER-IIS iisadmin access""",,,,,,
Community,1486,"""SERVER-IIS ctss.idc access""",,,,,,
Community,1172,"""SERVER-WEBAPP bigconf.cgi access""",,,,,,
Community,857,"""SERVER-WEBAPP faxsurvey access""",,,,,,
