PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2000418,ET POLICY Executable and linking format (ELF) file download,A552B7F8,192.168.0.30,192.168.0.20,1234,59950,32755
ETOpen,2034567,ET INFO curl User-Agent to Dotted Quad,5B2CE68B,192.168.0.30,192.168.0.20,37914,80,36158
ETOpen,2013028,ET POLICY curl User-Agent Outbound,5B2CE68B,192.168.0.30,192.168.0.20,37914,80,36158
ETOpen,2034567,ET INFO curl User-Agent to Dotted Quad,6AC6A513,192.168.0.30,192.168.0.20,37930,80,48294
ETOpen,2013028,ET POLICY curl User-Agent Outbound,6AC6A513,192.168.0.30,192.168.0.20,37930,80,48294
ETOpen,2034567,ET INFO curl User-Agent to Dotted Quad,3BAFC656,192.168.0.30,192.168.0.20,41690,80,22363
ETOpen,2013028,ET POLICY curl User-Agent Outbound,3BAFC656,192.168.0.30,192.168.0.20,41690,80,22363
ETOpen,2034567,ET INFO curl User-Agent to Dotted Quad,20F52A87,192.168.0.30,192.168.0.20,41698,80,62361
ETOpen,2013028,ET POLICY curl User-Agent Outbound,20F52A87,192.168.0.30,192.168.0.20,41698,80,62361
ETOpen,2034567,ET INFO curl User-Agent to Dotted Quad,FFF09F87,192.168.0.30,192.168.0.20,45234,80,37526
ETOpen,2013028,ET POLICY curl User-Agent Outbound,FFF09F87,192.168.0.30,192.168.0.20,45234,80,37526
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,D12186F8,192.168.0.20,192.168.0.30,59950,1234,42029
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,D12186F8,192.168.0.20,192.168.0.30,59950,1234,42029
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,A552B78D,192.168.0.30,192.168.0.20,1234,59950,0
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,A552B78D,192.168.0.30,192.168.0.20,1234,59950,0
ETOpenOpt,2000418,ET POLICY Executable and linking format (ELF) file download,A552B7F8,192.168.0.30,192.168.0.20,1234,59950,32755
ETOpenOpt,2011803,ET SHELLCODE Possible TCP x86 JMP to CALL Shellcode Detected,A5541000,192.168.0.30,192.168.0.20,1234,59950,32816
ETOpenOpt,2011803,ET SHELLCODE Possible TCP x86 JMP to CALL Shellcode Detected,A558E380,192.168.0.30,192.168.0.20,1234,59950,33036
ETOpenOpt,2011803,ET SHELLCODE Possible TCP x86 JMP to CALL Shellcode Detected,A559E208,192.168.0.30,192.168.0.20,1234,59950,33081
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2034567,ET INFO curl User-Agent to Dotted Quad,5B2CE68B,192.168.0.30,192.168.0.20,37914,80,36158
ETOpenOpt,2013028,ET POLICY curl User-Agent Outbound,5B2CE68B,192.168.0.30,192.168.0.20,37914,80,36158
ETOpenOpt,2002824,ET POLICY CURL User Agent,5B2CE68B,192.168.0.30,192.168.0.20,37914,80,36158
ETOpenOpt,2034567,ET INFO curl User-Agent to Dotted Quad,6AC6A513,192.168.0.30,192.168.0.20,37930,80,48294
ETOpenOpt,2013028,ET POLICY curl User-Agent Outbound,6AC6A513,192.168.0.30,192.168.0.20,37930,80,48294
ETOpenOpt,2002824,ET POLICY CURL User Agent,6AC6A513,192.168.0.30,192.168.0.20,37930,80,48294
ETOpenOpt,2034567,ET INFO curl User-Agent to Dotted Quad,3BAFC656,192.168.0.30,192.168.0.20,41690,80,22363
ETOpenOpt,2013028,ET POLICY curl User-Agent Outbound,3BAFC656,192.168.0.30,192.168.0.20,41690,80,22363
ETOpenOpt,2002824,ET POLICY CURL User Agent,3BAFC656,192.168.0.30,192.168.0.20,41690,80,22363
ETOpenOpt,2034567,ET INFO curl User-Agent to Dotted Quad,20F52A87,192.168.0.30,192.168.0.20,41698,80,62361
ETOpenOpt,2013028,ET POLICY curl User-Agent Outbound,20F52A87,192.168.0.30,192.168.0.20,41698,80,62361
ETOpenOpt,2002824,ET POLICY CURL User Agent,20F52A87,192.168.0.30,192.168.0.20,41698,80,62361
ETOpenOpt,2034567,ET INFO curl User-Agent to Dotted Quad,FFF09F87,192.168.0.30,192.168.0.20,45234,80,37526
ETOpenOpt,2013028,ET POLICY curl User-Agent Outbound,FFF09F87,192.168.0.30,192.168.0.20,45234,80,37526
ETOpenOpt,2002824,ET POLICY CURL User Agent,FFF09F87,192.168.0.30,192.168.0.20,45234,80,37526
