PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63532,1900,30749
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63536,1900,30750
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63540,1900,30751
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63532,1900,30752
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63536,1900,30753
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63540,1900,30754
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63532,1900,30755
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63540,1900,30756
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63536,1900,30757
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63532,1900,30758
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63536,1900,30760
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63540,1900,30759
Community,254,"""PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority""",,100.96.1.1,100.96.1.4,53,53134,5264
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,60976,1900,30775
Talos,24303,"""PROTOCOL-ICMP IPv6 multicast neighbor add attempt""",,,,,,0
Talos,24303,"""PROTOCOL-ICMP IPv6 multicast neighbor add attempt""",,,,,,0
Talos,24303,"""PROTOCOL-ICMP IPv6 multicast neighbor add attempt""",,,,,,0
Talos,27611,"""PROTOCOL-ICMP Truncated ICMPv6 denial of service attempt""",,,,,,0
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63532,1900,30749
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63536,1900,30750
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63540,1900,30751
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63532,1900,30752
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63536,1900,30753
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63540,1900,30754
Talos,24303,"""PROTOCOL-ICMP IPv6 multicast neighbor add attempt""",,,,,,0
Talos,27611,"""PROTOCOL-ICMP Truncated ICMPv6 denial of service attempt""",,,,,,0
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63532,1900,30755
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63540,1900,30756
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63536,1900,30757
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63532,1900,30758
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63536,1900,30760
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,63540,1900,30759
Talos,254,"""PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority""",,100.96.1.1,100.96.1.4,53,53134,5264
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,100.96.1.4,239.255.255.250,60976,1900,30775
