PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2035480,ET INFO PE EXE Download over raw TCP,CB021860,192.168.0.2,192.168.0.10,1234,49836,32362
ETOpen,2025644,ET TROJAN Possible Metasploit Payload Common Construct Bind_API (from server),CB044194,192.168.0.2,192.168.0.10,1234,49836,32459
ETOpen,2022858,ET CURRENT_EVENTS Suspicious BITS EXE DL From Dotted Quad,45CDFC2B,192.168.0.10,192.168.0.2,49841,80,44417
ETOpen,2016141,ET INFO Executable Download from dotted-quad Host,45CDFC2B,192.168.0.10,192.168.0.2,49841,80,44417
ETOpen,2022858,ET CURRENT_EVENTS Suspicious BITS EXE DL From Dotted Quad,D087BCAF,192.168.0.10,192.168.0.2,49842,80,49081
ETOpen,2016141,ET INFO Executable Download from dotted-quad Host,D087BCAF,192.168.0.10,192.168.0.2,49842,80,49081
ETOpen,2018959,ET POLICY PE EXE or DLL Windows file download HTTP,36DBA26C,192.168.0.2,192.168.0.10,80,49842,49083
ETOpen,2022858,ET CURRENT_EVENTS Suspicious BITS EXE DL From Dotted Quad,7F5DAD0F,192.168.0.10,192.168.0.2,49843,80,40237
ETOpen,2016141,ET INFO Executable Download from dotted-quad Host,7F5DAD0F,192.168.0.10,192.168.0.2,49843,80,40237
ETOpen,2022858,ET CURRENT_EVENTS Suspicious BITS EXE DL From Dotted Quad,1CD11F79,192.168.0.10,192.168.0.2,49844,80,37698
ETOpen,2016141,ET INFO Executable Download from dotted-quad Host,1CD11F79,192.168.0.10,192.168.0.2,49844,80,37698
ETOpen,2018959,ET POLICY PE EXE or DLL Windows file download HTTP,EB375949,192.168.0.2,192.168.0.10,80,49844,37700
ETOpen,2022858,ET CURRENT_EVENTS Suspicious BITS EXE DL From Dotted Quad,4ECC7C1,192.168.0.10,192.168.0.2,49845,80,21484
ETOpen,2016141,ET INFO Executable Download from dotted-quad Host,4ECC7C1,192.168.0.10,192.168.0.2,49845,80,21484
ETOpen,2018959,ET POLICY PE EXE or DLL Windows file download HTTP,2F41502F,192.168.0.2,192.168.0.10,80,49845,21486
ETOpen,2022858,ET CURRENT_EVENTS Suspicious BITS EXE DL From Dotted Quad,B65FC6F6,192.168.0.10,192.168.0.2,49846,80,8818
ETOpen,2016141,ET INFO Executable Download from dotted-quad Host,B65FC6F6,192.168.0.10,192.168.0.2,49846,80,8818
ETOpen,2018959,ET POLICY PE EXE or DLL Windows file download HTTP,82E2D735,192.168.0.2,192.168.0.10,80,49846,8820
ETOpen,2022858,ET CURRENT_EVENTS Suspicious BITS EXE DL From Dotted Quad,9F9560AC,192.168.0.10,192.168.0.2,49847,80,58308
ETOpen,2016141,ET INFO Executable Download from dotted-quad Host,9F9560AC,192.168.0.10,192.168.0.2,49847,80,58308
ETOpen,2018959,ET POLICY PE EXE or DLL Windows file download HTTP,65F6F412,192.168.0.2,192.168.0.10,80,49847,58310
ETOpen,2022858,ET CURRENT_EVENTS Suspicious BITS EXE DL From Dotted Quad,489B580C,192.168.0.10,192.168.0.2,49848,80,34596
ETOpen,2016141,ET INFO Executable Download from dotted-quad Host,489B580C,192.168.0.10,192.168.0.2,49848,80,34596
ETOpen,2018959,ET POLICY PE EXE or DLL Windows file download HTTP,EEEAA8B3,192.168.0.2,192.168.0.10,80,49848,34598
ETOpen,2035480,ET INFO PE EXE Download over raw TCP,F50F6CE6,192.168.0.2,192.168.0.10,1234,49849,26920
ETOpen,2025644,ET TROJAN Possible Metasploit Payload Common Construct Bind_API (from server),F5116CE6,192.168.0.2,192.168.0.10,1234,49849,27012
