PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,24253,"""INDICATOR-COMPROMISE IP only webpage redirect attempt""",,,,,,
ETOpen,2043343,ET INFO RustDesk Domain in DNS Lookup,,192.168.0.2,192.168.0.4,51750,53,43984
ETOpen,2044076,ET INFO RustDesk Relay Domain in DNS Lookup,,192.168.0.2,192.168.0.4,51750,53,43984
ETOpen,2043343,ET INFO RustDesk Domain in DNS Lookup,,192.168.0.2,192.168.0.4,42974,53,3846
ETOpen,2044076,ET INFO RustDesk Relay Domain in DNS Lookup,,192.168.0.2,192.168.0.4,42974,53,3846
ETOpen,2043343,ET INFO RustDesk Domain in DNS Lookup,,192.168.0.2,192.168.0.4,44502,53,35019
ETOpen,2044076,ET INFO RustDesk Relay Domain in DNS Lookup,,192.168.0.2,192.168.0.4,44502,53,35019
ETOpen,2043343,ET INFO RustDesk Domain in DNS Lookup,,192.168.0.2,192.168.0.4,37831,53,43914
ETOpen,2044076,ET INFO RustDesk Relay Domain in DNS Lookup,,192.168.0.2,192.168.0.4,37831,53,43914
ETOpen,2012886,ET POLICY Http Client Body contains passwd= in cleartext,B01890A4,192.168.0.2,192.168.0.3,55684,80,23083
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.4,192.168.0.2,53,41376,4360
Talos,59597,"""SERVER-OTHER WolfSSL PSK extension buffer overflow attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,24253,"""INDICATOR-COMPROMISE IP only webpage redirect attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
ETOpenOpt,2043343,ET INFO RustDesk Domain in DNS Lookup,,192.168.0.2,192.168.0.4,51750,53,43984
ETOpenOpt,2044076,ET INFO RustDesk Relay Domain in DNS Lookup,,192.168.0.2,192.168.0.4,51750,53,43984
ETOpenOpt,2043343,ET INFO RustDesk Domain in DNS Lookup,,192.168.0.2,192.168.0.4,42974,53,3846
ETOpenOpt,2044076,ET INFO RustDesk Relay Domain in DNS Lookup,,192.168.0.2,192.168.0.4,42974,53,3846
ETOpenOpt,2025364,ET CURRENT_EVENTS Google Docs Phishing Landing 2018-02-15,48497F6B,192.168.0.3,192.168.0.2,80,35304,20349
ETOpenOpt,2025364,ET CURRENT_EVENTS Google Docs Phishing Landing 2018-02-15,48497EF7,192.168.0.3,192.168.0.2,80,35304,24904
ETOpenOpt,2043343,ET INFO RustDesk Domain in DNS Lookup,,192.168.0.2,192.168.0.4,44502,53,35019
ETOpenOpt,2044076,ET INFO RustDesk Relay Domain in DNS Lookup,,192.168.0.2,192.168.0.4,44502,53,35019
ETOpenOpt,2043343,ET INFO RustDesk Domain in DNS Lookup,,192.168.0.2,192.168.0.4,37831,53,43914
ETOpenOpt,2044076,ET INFO RustDesk Relay Domain in DNS Lookup,,192.168.0.2,192.168.0.4,37831,53,43914
ETOpenOpt,2012886,ET POLICY Http Client Body contains passwd= in cleartext,B01890A4,192.168.0.2,192.168.0.3,55684,80,23083
ETOpenOpt,2025364,ET CURRENT_EVENTS Google Docs Phishing Landing 2018-02-15,F1AE656A,192.168.0.3,192.168.0.2,80,55692,1023
ETOpenOpt,2025364,ET CURRENT_EVENTS Google Docs Phishing Landing 2018-02-15,F1AE64F6,192.168.0.3,192.168.0.2,80,55692,7754
