PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,254,"""PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority""",,192.168.1.1,10.0.2.15,53,57204,40381
Community,254,"""PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority""",,192.168.1.1,10.0.2.15,53,51602,40382
Community,254,"""PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority""",,192.168.1.1,10.0.2.15,53,52802,61622
ETOpen,2013504,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,B7C29C85,10.0.2.15,185.125.190.39,37398,80,40384
ETOpen,2013504,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,40CB0DC8,10.0.2.15,91.189.91.83,38166,80,40386
ETOpen,2013504,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,B7C29D2B,10.0.2.15,185.125.190.39,37398,80,40514
ETOpen,2013504,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,40CB0E64,10.0.2.15,91.189.91.83,38166,80,40956
ETOpen,2013504,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,40CB0F08,10.0.2.15,91.189.91.83,38166,80,41796
ETOpen,2013504,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,40CB0FAE,10.0.2.15,91.189.91.83,38166,80,42517
ETOpen,2013504,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,40CB10A6,10.0.2.15,91.189.91.83,38166,80,42517
ETOpen,2013504,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,40CB11A0,10.0.2.15,91.189.91.83,38166,80,42517
ETOpen,2013504,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,40CB129A,10.0.2.15,91.189.91.83,38166,80,42517
ETOpen,2013504,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,B7C29E2F,10.0.2.15,185.125.190.39,37398,80,44606
ETOpen,2013504,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,B7C29F2D,10.0.2.15,185.125.190.39,37398,80,44606
ETOpen,2013504,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,B7C2A031,10.0.2.15,185.125.190.39,37398,80,44606
ETOpen,2013504,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,40CB138E,10.0.2.15,91.189.91.83,38166,80,54829
ETOpen,2013504,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,40CB1490,10.0.2.15,91.189.91.83,38166,80,54829
ETOpen,2013504,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,40CB1592,10.0.2.15,91.189.91.83,38166,80,54829
ETOpen,2013504,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,40CB168E,10.0.2.15,91.189.91.83,38166,80,54829
ETOpen,2013504,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,40CB178E,10.0.2.15,91.189.91.83,38166,80,54829
