2024-07-05T12:16:59.292353+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618751841113 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16250 srcip=0.0.0.0 dstip=255.255.255.255 dstcountry="Reserved" srcport=68 dstport=67 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DHCP" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311618 applist="sniffer-profile" action="pass" appcat="Network.Service" app="BOOTP" incidentserialno=226718804 msg="Network.Service: BOOTP" apprisk="elevated"
2024-07-05T12:16:59.292428+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618763674426 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16214 srcip=192.168.0.2 srccountry="Reserved" dstip=192.168.0.10 dstcountry="Reserved" srcport=67 dstport=68 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DHCP" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311619 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DHCP" incidentserialno=226718805 msg="Network.Service: DHCP" apprisk="elevated"
2024-07-05T12:16:59.292428+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618763790937 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=50807 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311620 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718806 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292428+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618763861567 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=32609 srcip=224.0.0.22 srccountry="Reserved" dstip=192.168.0.10 dstcountry="Reserved" srcport=0 dstport=0 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=2 service="igmp" direction="incoming" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=0 applist="sniffer-profile" action="pass" appcat="Network.Service" app="IP.Multicast" incidentserialno=226718807 msg="Network.Service: IP.Multicast" apprisk="elevated"
2024-07-05T12:16:59.292454+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618763877191 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=32609 srcip=224.0.0.22 srccountry="Reserved" dstip=192.168.0.10 dstcountry="Reserved" srcport=0 dstport=0 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=2 service="igmp" direction="incoming" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=0 applist="sniffer-profile" action="pass" appcat="Network.Service" app="IP.Multicast" incidentserialno=226718808 msg="Network.Service: IP.Multicast" apprisk="elevated"
2024-07-05T12:16:59.292454+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618763894898 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=32609 srcip=224.0.0.22 srccountry="Reserved" dstip=192.168.0.10 dstcountry="Reserved" srcport=0 dstport=0 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=2 service="igmp" direction="incoming" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=0 applist="sniffer-profile" action="pass" appcat="Network.Service" app="IP.Multicast" incidentserialno=226718809 msg="Network.Service: IP.Multicast" apprisk="elevated"
2024-07-05T12:16:59.292474+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618763908112 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=32609 srcip=224.0.0.22 srccountry="Reserved" dstip=192.168.0.10 dstcountry="Reserved" srcport=0 dstport=0 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=2 service="igmp" direction="incoming" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=0 applist="sniffer-profile" action="pass" appcat="Network.Service" app="IP.Multicast" incidentserialno=226718811 msg="Network.Service: IP.Multicast" apprisk="elevated"
2024-07-05T12:16:59.292485+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618763911681 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=17011 srcip=192.168.0.10 srccountry="Reserved" dstip=224.0.0.251 dstcountry="Reserved" srcport=5353 dstport=5353 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="udp/5353" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311621 applist="sniffer-profile" action="pass" appcat="Network.Service" app="Multicast.DNS" incidentserialno=226718810 msg="Network.Service: Multicast.DNS" apprisk="elevated"
2024-07-05T12:16:59.292497+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618764000814 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=31755 srcip=192.168.0.10 srccountry="Reserved" dstip=224.0.0.252 dstcountry="Reserved" srcport=56976 dstport=5355 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="udp/5355" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311622 applist="sniffer-profile" action="pass" appcat="Network.Service" app="LLMNR" incidentserialno=226718812 msg="Network.Service: LLMNR" apprisk="elevated"
2024-07-05T12:16:59.292511+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618764019144 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=32609 srcip=224.0.0.22 srccountry="Reserved" dstip=192.168.0.10 dstcountry="Reserved" srcport=0 dstport=0 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=2 service="igmp" direction="incoming" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=0 applist="sniffer-profile" action="pass" appcat="Network.Service" app="IP.Multicast" incidentserialno=226718813 msg="Network.Service: IP.Multicast" apprisk="elevated"
2024-07-05T12:16:59.292527+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618764042995 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=17017 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.255 dstcountry="Reserved" srcport=137 dstport=137 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="udp/137" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311623 applist="sniffer-profile" action="pass" appcat="Network.Service" app="NetBIOS.Name.Service" incidentserialno=226718814 msg="Network.Service: NetBIOS.Name.Service" apprisk="elevated"
