PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2013028,ET POLICY curl User-Agent Outbound,E868E4F2,10.10.1.9,10.10.1.2,40201,80,9330
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,205.187.128.53,149.156.223.124,0,0,47170
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,46.162.39.41,166.146.123.57,0,0,25944
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,223.61.182.117,103.25.104.49,0,0,5833
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,72.173.39.18,69.35.15.5,0,0,52383
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,177.57.99.44,246.22.150.7,0,0,60493
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,193.112.174.71,222.159.118.53,0,0,23197
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,212.111.152.53,180.112.112.35,0,0,31438
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,94.124.196.38,231.169.166.70,0,0,59930
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,138.163.28.101,159.222.150.121,0,0,54119
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,80.40.108.0,46.11.160.1,0,0,22176
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,158.182.38.52,84.146.120.10,0,0,59056
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,49.36.13.51,170.213.185.12,0,0,50206
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,71.61.13.95,49.73.155.56,0,0,46644
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,87.72.172.122,40.185.163.118,0,0,45831
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,94.205.117.2,207.211.112.98,0,0,34546
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,106.45.236.59,136.197.117.0,0,0,16458
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,154.18.124.47,34.174.114.17,0,0,58647
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,33.60.195.88,84.145.67.101,0,0,39555
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,198.44.254.35,182.223.174.51,0,0,33553
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,169.56.102.16,171.202.213.31,0,0,50301
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,28.56.246.75,205.25.28.103,0,0,39273
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,117.250.140.21,156.52.72.97,0,0,8888
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,181.228.104.81,25.179.222.96,0,0,20679
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,16.237.56.78,151.117.17.24,0,0,44260
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,223.147.239.25,193.178.97.36,0,0,703
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,186.230.232.49,166.29.70.7,0,0,27972
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,212.240.104.16,223.99.59.85,0,0,8798
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,43.26.220.21,177.49.245.121,0,0,32309
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,13.207.74.6,129.172.252.123,0,0,43231
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,121.151.83.54,111.222.51.34,0,0,22308
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,45.76.18.68,254.228.111.124,0,0,65482
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,175.203.193.95,61.58.79.80,0,0,36457
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,102.187.128.123,90.39.38.125,0,0,27249
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,57.240.218.122,5.25.233.25,0,0,50130
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,57.153.7.12,108.61.31.18,0,0,37825
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,243.159.90.126,1.132.224.14,0,0,2330
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,249.248.160.52,152.44.143.124,0,0,57430
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,181.224.144.50,143.197.54.1,0,0,40904
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,202.145.137.93,121.79.166.28,0,0,13767
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,87.128.81.72,218.38.91.17,0,0,51816
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,75.148.68.95,218.201.158.50,0,0,32780
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,244.35.222.34,71.60.54.33,0,0,50458
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,72.211.241.93,145.230.154.115,0,0,58548
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,205.190.29.94,57.41.79.107,0,0,1205
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,225.161.77.95,84.52.182.2,0,0,24447
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,118.53.134.7,241.249.147.97,0,0,20633
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,191.235.5.63,47.116.240.93,0,0,53820
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,81.224.115.6,100.168.130.45,0,0,32543
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,68.95.229.86,90.142.133.99,0,0,2015
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,81.245.18.110,22.253.102.61,0,0,28538
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,215.223.195.97,152.157.56.59,0,0,1003
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,246.150.219.66,30.57.12.69,0,0,28608
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,15.203.144.22,98.143.159.58,0,0,35805
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,17.91.73.107,181.146.68.119,0,0,3879
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,216.84.32.19,3.8.221.111,0,0,65454
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,50.186.166.67,203.132.152.119,0,0,6723
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,250.109.74.118,228.150.102.56,0,0,16927
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,119.129.161.74,248.107.190.56,0,0,64062
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,161.0.126.113,51.40.232.11,0,0,21431
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,239.132.43.75,174.41.228.35,0,0,56157
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,52.250.116.48,41.178.158.88,0,0,60844
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,200.83.155.62,73.236.253.45,0,0,24360
