PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2013028,ET POLICY curl User-Agent Outbound,E868E4F2,10.10.1.9,10.10.1.2,40201,80,9330
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.230.185.90,102.170.10.71,0,0,61145
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.9.179.73,191.142.45.75,0,0,4251
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.118.89.2,233.142.150.14,0,0,48224
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.29.68.56,150.10.89.62,0,0,30618
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.186.223.56,244.39.108.38,0,0,17193
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.136.141.10,138.109.76.47,0,0,24718
ETOpenOpt,2100528,GPL SCAN loopback traffic,,137.12.50.83,127.238.255.110,0,0,15133
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.134.125.107,100.79.161.90,0,0,60437
ETOpenOpt,2100528,GPL SCAN loopback traffic,,174.113.33.7,127.243.1.102,0,0,34490
ETOpenOpt,2100528,GPL SCAN loopback traffic,,103.103.70.65,127.29.139.1,0,0,36408
ETOpenOpt,2100528,GPL SCAN loopback traffic,,163.79.221.105,127.237.2.66,0,0,63403
ETOpenOpt,2100528,GPL SCAN loopback traffic,,128.211.237.10,127.144.12.6,0,0,26867
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.227.202.105,148.70.222.30,0,0,55476
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.133.172.32,90.44.174.37,0,0,55507
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.99.196.9,38.19.59.107,0,0,34277
ETOpenOpt,2100528,GPL SCAN loopback traffic,,26.62.229.14,127.11.85.123,0,0,36195
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.165.191.60,5.235.91.124,0,0,64845
ETOpenOpt,2100528,GPL SCAN loopback traffic,,92.135.141.99,127.193.228.30,0,0,9869
ETOpenOpt,2100528,GPL SCAN loopback traffic,,215.139.45.85,127.180.233.71,0,0,63488
ETOpenOpt,2100528,GPL SCAN loopback traffic,,155.48.22.13,127.118.12.48,0,0,27518
ETOpenOpt,2100528,GPL SCAN loopback traffic,,209.35.27.93,127.53.140.33,0,0,61105
ETOpenOpt,2100528,GPL SCAN loopback traffic,,194.136.127.83,127.103.152.116,0,0,15363
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.61.53.18,241.123.158.84,0,0,41091
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.192.207.68,33.76.189.15,0,0,2967
ETOpenOpt,2100528,GPL SCAN loopback traffic,,67.146.166.14,127.143.27.29,0,0,46799
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.77.148.114,249.176.159.116,0,0,5322
ETOpenOpt,2100528,GPL SCAN loopback traffic,,12.56.123.110,127.80.221.36,0,0,20379
ETOpenOpt,2100528,GPL SCAN loopback traffic,,52.240.212.109,127.174.218.59,0,0,45116
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.80.204.17,81.46.80.8,0,0,9506
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.43.102.11,195.125.187.95,0,0,1057
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.86.225.68,10.235.111.92,0,0,54056
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.9.188.97,51.28.67.9,0,0,59489
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.188.183.22,11.19.47.5,0,0,34632
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.121.104.84,88.58.125.115,0,0,14245
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.238.116.103,254.198.165.32,0,0,53116
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.1.18.8,168.45.108.87,0,0,21900
ETOpenOpt,2100528,GPL SCAN loopback traffic,,211.179.99.2,127.65.31.109,0,0,56900
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.171.34.41,198.10.100.0,0,0,53892
ETOpenOpt,2100528,GPL SCAN loopback traffic,,20.7.59.58,127.56.194.9,0,0,53330
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.186.179.85,222.87.12.121,0,0,60135
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.126.22.124,32.42.77.94,0,0,23309
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.255.212.17,237.232.86.73,0,0,48636
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.167.144.30,165.91.237.39,0,0,37526
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.153.94.82,144.160.0.106,0,0,53164
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.0.196.106,115.187.226.29,0,0,2587
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.169.45.11,43.86.12.59,0,0,23053
ETOpenOpt,2100528,GPL SCAN loopback traffic,,229.214.239.15,127.142.33.85,0,0,709
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.223.166.59,71.210.5.121,0,0,38866
ETOpenOpt,2100528,GPL SCAN loopback traffic,,26.124.28.90,127.171.90.20,0,0,38533
ETOpenOpt,2100528,GPL SCAN loopback traffic,,35.43.45.59,127.177.64.111,0,0,6506
ETOpenOpt,2100528,GPL SCAN loopback traffic,,34.153.7.98,127.247.75.90,0,0,61595
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.42.134.95,41.134.171.87,0,0,63242
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.148.38.50,102.244.14.101,0,0,55886
ETOpenOpt,2100528,GPL SCAN loopback traffic,,188.241.105.64,127.201.161.89,0,0,40379
ETOpenOpt,2100528,GPL SCAN loopback traffic,,225.142.3.64,127.126.201.24,0,0,51182
ETOpenOpt,2100528,GPL SCAN loopback traffic,,158.62.101.116,127.129.209.84,0,0,33501
ETOpenOpt,2100528,GPL SCAN loopback traffic,,76.205.158.4,127.138.59.54,0,0,61007
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.63.125.119,245.164.156.33,0,0,46871
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.148.132.111,34.33.190.67,0,0,8063
ETOpenOpt,2100528,GPL SCAN loopback traffic,,232.201.239.77,127.242.78.111,0,0,58343
ETOpenOpt,2100528,GPL SCAN loopback traffic,,93.192.178.105,127.97.231.9,0,0,53751
ETOpenOpt,2100528,GPL SCAN loopback traffic,,33.151.245.12,127.85.254.11,0,0,13402
ETOpenOpt,2100528,GPL SCAN loopback traffic,,190.25.163.76,127.143.47.119,0,0,53860
ETOpenOpt,2100528,GPL SCAN loopback traffic,,134.148.1.14,127.203.172.41,0,0,5424
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.245.47.6,27.184.44.93,0,0,17296
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.235.42.85,88.179.237.58,0,0,38929
ETOpenOpt,2100528,GPL SCAN loopback traffic,,238.204.209.93,127.162.168.65,0,0,49605
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.245.153.19,1.210.129.100,0,0,25074
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.211.183.49,215.83.247.50,0,0,28855
ETOpenOpt,2100528,GPL SCAN loopback traffic,,95.204.110.28,127.198.140.107,0,0,63818
ETOpenOpt,2100528,GPL SCAN loopback traffic,,31.255.248.49,127.35.255.56,0,0,6199
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.168.79.22,50.231.229.124,0,0,50308
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.51.163.105,247.101.37.102,0,0,38260
ETOpenOpt,2100528,GPL SCAN loopback traffic,,248.97.152.36,127.129.43.58,0,0,5139
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.214.157.88,14.107.71.32,0,0,61976
ETOpenOpt,2100528,GPL SCAN loopback traffic,,145.109.86.18,127.226.168.113,0,0,61772
ETOpenOpt,2100528,GPL SCAN loopback traffic,,55.55.175.117,127.70.54.44,0,0,46175
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.55.69.118,92.35.223.11,0,0,39912
ETOpenOpt,2100528,GPL SCAN loopback traffic,,106.104.41.39,127.140.63.94,0,0,17075
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.65.129.51,46.229.214.12,0,0,775
