PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Talos,44604,"""SERVER-OTHER Novell eDirectory LDAP server buffer overflow attempt""",8345731C,192.168.10.5,192.168.10.10,10032,389,2399
Talos,44604,"""SERVER-OTHER Novell eDirectory LDAP server buffer overflow attempt""",7AAA8A44,192.168.10.5,192.168.10.10,10033,389,2407
Talos,44604,"""SERVER-OTHER Novell eDirectory LDAP server buffer overflow attempt""",80263235,192.168.10.5,192.168.10.10,10034,389,2415
Talos,44489,"""POLICY-OTHER SMBv1 protocol detection attempt""",FD30CC93,192.168.10.5,192.168.10.10,10047,445,2834
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,8345731B,192.168.10.5,192.168.10.10,10032,389,2397
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,8345731B,192.168.10.5,192.168.10.10,10032,389,2397
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,4ABFEC65,192.168.10.10,192.168.10.5,389,10032,23043
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,4ABFEC65,192.168.10.10,192.168.10.5,389,10032,23043
ETOpenOpt,2044666,ET INFO Outbound SMB Protocol Request to External Address,FD30CC93,192.168.10.5,192.168.10.10,10047,445,2834
ETOpenOpt,2100628,GPL SCAN nmap TCP,DC594844,192.168.10.5,192.168.10.6,80,62084,50605
ETOpenOpt,2100628,GPL SCAN nmap TCP,DC598CB4,192.168.10.5,192.168.10.6,80,62084,50618
ETOpenOpt,2100628,GPL SCAN nmap TCP,DC59F361,192.168.10.5,192.168.10.6,80,62084,50649
ETOpenOpt,2100628,GPL SCAN nmap TCP,DC5A37D1,192.168.10.5,192.168.10.6,80,62084,50661
