ID_regla,sessionid,repeatcnt,severity_number,Nombre_regla,thread_category,prot,src_ip,dst_ip,log_subtype,extra_data
9999,122900,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/
9999,122900,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/login.php
9999,124925,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/
9999,124925,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/login.php
9999,122900,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/dvwa/images/login_logo.png
14984,122900,7,1,Suspicious HTTP Evasion Found,spyware,tcp,18.218.115.60,172.31.69.28,spyware,18.218.83.150/DVWA/vulnerabilities/xss_r/
9999,123055,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/
9999,123055,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/login.php
55310,124977,2,3,DVWA Web Application Attack Detection,code-execution,tcp,18.218.115.60,172.31.69.28,vulnerability,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('BQ3VM4I6P9H41ZA28MXHAB7V7453W0A4FT64KO1THG5FT989PB');console.log(document.cookie);</script>&user_token=0ac817b5c234b0caa160fe72e67d2988
94328,124977,2,3,Generic Cross-Site Scripting Vulnerability,code-execution,tcp,18.218.115.60,172.31.69.28,vulnerability,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('BQ3VM4I6P9H41ZA28MXHAB7V7453W0A4FT64KO1THG5FT989PB');console.log(document.cookie);</script>&user_token=0ac817b5c234b0caa160fe72e67d2988
9999,124977,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('BQ3VM4I6P9H41ZA28MXHAB7V7453W0A4FT64KO1THG5FT989PB');console.log(document.cookie);</script>&user_token=0ac817b5c234b0caa160fe72e67d2988
9999,124925,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/dvwa/images/login_logo.png
9999,123628,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('XPNJGWDJ5LCDX7I7JBAYHDIMHEHBI8BATSPNES7TXFJLIP9KCA');console.log(document.cookie);</script>&user_token=9dbc9d628d598769a578925e683ad7e7
9999,123055,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/dvwa/images/login_logo.png
14984,124680,3,1,Suspicious HTTP Evasion Found,spyware,tcp,18.218.115.60,172.31.69.28,spyware,18.218.83.150/DVWA/vulnerabilities/xss_r/
9999,124680,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/
55310,123875,2,3,DVWA Web Application Attack Detection,code-execution,tcp,18.218.115.60,172.31.69.28,vulnerability,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('C2173U3HVZRY3N8LQV6800CFUA9NW2PP2IW4MNH147DK5NRP9H');console.log(document.cookie);</script>&user_token=acd7a7a92b6b990411ef7cd9a1fa46d5
94328,123875,2,3,Generic Cross-Site Scripting Vulnerability,code-execution,tcp,18.218.115.60,172.31.69.28,vulnerability,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('C2173U3HVZRY3N8LQV6800CFUA9NW2PP2IW4MNH147DK5NRP9H');console.log(document.cookie);</script>&user_token=acd7a7a92b6b990411ef7cd9a1fa46d5
9999,123875,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('C2173U3HVZRY3N8LQV6800CFUA9NW2PP2IW4MNH147DK5NRP9H');console.log(document.cookie);</script>&user_token=acd7a7a92b6b990411ef7cd9a1fa46d5
9999,123605,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/
14984,123775,3,1,Suspicious HTTP Evasion Found,spyware,tcp,18.218.115.60,172.31.69.28,spyware,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('OHZQERF72QGAV7HBAS1YHR41BOE5A6XUVHE7QCXJ5KYCD29HTP');console.log(document.cookie);</script>&user_token=52d41f9f6f2c8b89c85035019d95b90b
9999,123775,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('OHZQERF72QGAV7HBAS1YHR41BOE5A6XUVHE7QCXJ5KYCD29HTP');console.log(document.cookie);</script>&user_token=52d41f9f6f2c8b89c85035019d95b90b
9999,123789,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/
55310,122936,2,3,DVWA Web Application Attack Detection,code-execution,tcp,18.218.115.60,172.31.69.28,vulnerability,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('KTMQEATYI2WSTKVWOLALTRPBY7LXWJHAKYAL51WL5D3LE5QCNV');console.log(document.cookie);</script>&user_token=2f355ad91c3e877885517ee5c3b62ed5
94328,122936,2,3,Generic Cross-Site Scripting Vulnerability,code-execution,tcp,18.218.115.60,172.31.69.28,vulnerability,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('KTMQEATYI2WSTKVWOLALTRPBY7LXWJHAKYAL51WL5D3LE5QCNV');console.log(document.cookie);</script>&user_token=2f355ad91c3e877885517ee5c3b62ed5
9999,122936,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('KTMQEATYI2WSTKVWOLALTRPBY7LXWJHAKYAL51WL5D3LE5QCNV');console.log(document.cookie);</script>&user_token=2f355ad91c3e877885517ee5c3b62ed5
14984,123836,3,1,Suspicious HTTP Evasion Found,spyware,tcp,18.218.115.60,172.31.69.28,spyware,18.218.83.150/DVWA/vulnerabilities/xss_r/
9999,123836,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/
9999,123759,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('PADXVJ01BJQZF54XPW8NMQQBOIZO2HYWAWV5ZNIN5CVAI9KWSR');console.log(document.cookie);</script>&user_token=2e8deac122c73c661fd837eed03dda69
9999,123831,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/
