ID_regla,sessionid,repeatcnt,severity_number,Nombre_regla,thread_category,prot,src_ip,dst_ip,log_subtype,extra_data
9999,1056975,1,1,,N/A,tcp,18.219.211.138,172.31.69.25,url,18.217.21.148/?dsytCyvo=BprUMPc66D70xCs
9999,1057007,1,1,,N/A,tcp,18.219.211.138,172.31.69.25,url,18.217.21.148/?yeFaFPSPb=C7QyhPv&UgNKvIPsv=7vDJjMKyc&Q5KQiWMnne=4TT6pw03jcLuu8W
9999,1056976,1,1,,N/A,tcp,18.219.211.138,172.31.69.25,url,18.217.21.148/?5r2ffD1=pnaBtx3GjwMBFjNoePh&xgBDaYC2=Mw5ybqlnExlb7u0CasuK&xlfGGvhJu=2nvBaDW7tWt&aopieOt=WSjHgE5fUNM&ULccVX=KkBpebM1
9999,1056972,1,1,,N/A,tcp,18.219.211.138,172.31.69.25,url,18.217.21.148/?cMgN=Iwh0UIGqayR&1t7gnC1=v2T1nWYAOWpd0ECMTS1r
9999,1057017,1,1,,N/A,tcp,18.219.211.138,172.31.69.25,url,18.217.21.148/?jSaVI70pve=xvgmIhQJhi8oyjFUT2x&hfQauYCLF=U4YJ0Gq6&yg7rmJuff=0xcR1E03iQJUiXT5yo
9999,1056971,1,1,,N/A,tcp,18.219.211.138,172.31.69.25,url,18.217.21.148/?GLpegS65=GXPw&rwilyu6=iEy8CmVFPBxUt6u&F2ArXRpwDt=HbSi
9999,1057020,1,1,,N/A,tcp,18.219.211.138,172.31.69.25,url,18.217.21.148/?ftOCb4KLI=ksB3Uo
9999,1057023,1,1,,N/A,tcp,18.219.211.138,172.31.69.25,url,18.217.21.148/?XyoH6Sa2bs=ghvFY6lH
9999,1057013,1,1,,N/A,tcp,18.219.211.138,172.31.69.25,url,18.217.21.148/?Su5kok=7R4&PFOhGJDuA=CaENHrNxcNH8MtPQLeA&ccsXuIvT3=ghoWU
9999,1057019,1,1,,N/A,tcp,18.219.211.138,172.31.69.25,url,18.217.21.148/?5Qr=oJiGVOk0onAYl
9999,1056937,1,1,,N/A,tcp,18.219.211.138,172.31.69.25,url,18.217.21.148/?5tevRQ177a=XnuHs&K1cA=SRTCkjO3sX
